Title,Year,citations,Scientific Entity Disambigious
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,2015,3,"assumption-based, subject-verb agreement, third person singular forms"
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015,8,"machine learning method, machine translation, human text"
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015,0,"35th pacific asia conference, language, multimedia, abstract"
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015,0,"class-based language model, formal language, bae, pos tagging, french corpora"
A Review of Corpus-based Statistical Models of Language Variation,2015,1,"corpus-based statistical models, dialect variation"
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015,0,"gowvis, gaps, svm classifier"
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015,62,"machine translation, istic, arabic dialect identification"
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,2015,5,"gist consistency, sense-disambiguated wiktionary"
Computing Semantic Text Similarity Using Rich Features,2015,8,"art, semantic text exchange, rich features"
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015,13,"mechanical turk-based experiment, double-blind experiment, dialogue dataset, case study, flow"
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015,1,"discourse relation bank, various units of sentence expression, recursive neural network"
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015,157,"bidirectional long short-term memory models, relation learning"
Distant Supervision for Entity Linking,2015,10,"farness, node linking"
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,2015,4,"algorithmic study, biographical data, soft gazetteers, ancient china"
Fast and Large-scale Unsupervised Relation Extraction,2015,7,"fast, large-scale, unsupervised relation"
Reducing Lexical Features in Parsing by Word Embeddings,2015,3,"lexical markers, parsing, word embeddings"
High-order Graph-based Neural Dependency Parsing,2015,4,"high-order, neural-based rst parsing"
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,2015,1,"simple syntax, postposing, japanese texts"
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015,15,"unsupervised, lightly superviced, part-of-speech tagged, recurrent neural filters"
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015,0,"prepositional phrases, patent texts, rule-based method, dcr method"
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,2015,8,"arabic social meaning, stacked denoising autoencoder, distributed word models"
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015,4,"wikipedia, sentiment dynamics, war-related wikipedia articles, 1937"
A Comprehensive Filter Feature Selection for Improving Document Classification,2015,6,"active feature selection, document labels"
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015,6,"sentiment analyzer, rich features, ironic tweets"
{T}hai Stock News Sentiment Classification using Wordpair Features,2015,1,"thai stock news, it strategy, wordpair features"
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015,24,"it strategy, arabic texts, low-level features, search algorithms"
The Invertible Construction in {C}hinese,2015,0,"invertible projections, pinyin"
Pan{'}s (2001) puzzle revisited,2015,1,pan's puzzle
{E}nglish Right Dislocation,2015,1,"""english"", ""right dislocation"""
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015,0,"comparative study, pinyin, auxiliary verb"
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015,4,"complex-np islands, korea, global approach"
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015,1,"discourse relation markers (drms), korea"
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,2015,7,"large-scale study, statistical machine translation methods, thai language"
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015,3,"latin, norwegian edition, chinese radicals"
Well-Formed Dependency to String translation with {BTG} Grammar,2015,0,"well-formed dependency, string editing, btg grammar"
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,2015,5,"large-scale dictionary, pivot-based machine translation, pruning, neural model"
Annotation and Classification of {F}rench Feedback Communicative Functions,2015,7,"annotation, classification, french input, communicative goals"
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015,12,"automatic conversion, sentence-end expressions, utterance level, dialogue systems"
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,2015,4,"auditory synaesthesia, near synonyms, text-based analysis, yin1, mandarin chinese"
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,2015,9,"utterance units, label propagation, graph, gems, utterance level, open-domain dialogue systems"
The Cross-modal Representation of Metaphors,2015,0,"cross-modal transfer, metaphors"
Writing to Read: the Case of {C}hinese,2015,6,"test, be, pinyin"
Design of a Learner Corpus for Listening and Speaking Performance,2015,0,"learner corpus, eating frame, speaking style"
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,2015,0,"infants' language development, levels of consciousness, agent-based model"
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,2015,1,"tier-based modeling, low-resource lexicon extraction"
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,2015,0,"corpus-based data, zunshou, polish equivalents"
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,2015,0,"semantico-syntactic tagging, lmf normalized dictionaries"
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,2015,4,"embodiment, modality lexicon, human body part metaphors, sinica corpus"
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,2015,0,"bound variables, izyooni `than'-clauses"
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,2015,0,"age, case identity, vp ellipsis, latin"
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,2015,0,"robust modeling, correlation, island effect, working memory model, l2 context"
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,2015,0,"nasality, nominalizations, mandarin chinese, corpus-based data, mainland chinese, china"
Zero Object Resolution in {K}orean,2015,4,"zero object, aims, korea"
An Improved Hierarchical Word Sequence Language Model Using Directional Information,2015,3,"latent language models, frequency data"
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,2015,16,"neural network, grammar model, pinyin, input method"
Real-time Detection and Sorting of News on Microblogging Platforms,2015,3,"real-time detection, api, news, microblogging"
Trouble information extraction based on a bootstrap approach from {T}witter,2015,1,"must data collection, turk bootstrap, twitter"
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,2015,0,"twitter data, moral code, japanese mo"
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,2015,0,"lightly-supervised modeling, detecting emotional upsurge, twitter"
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,2015,4,"hybrid method, un-supervised learning, test-time learning, domain adaptive, document labels"
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,2015,6,"paraphrase detection, equivalents, similar word matching"
Multi-aspects Rating Prediction Using Aspect Words and Sentences,2015,0,"sieve prediction ranking, aspect words, nut"
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,2015,3,"rating humor, predicting ratings, expert text"
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,2015,0,"multilingual pseudo-relevance feedback, emerging topic"
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,2015,0,"corpus annotation, tense analysis, ngos, eventke, spatial expressions"
Recognizing Complex Negation on {T}witter,2015,3,"complex negation, twitter"
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,2015,28,"topic model, suicidal ideation, sina microblog"
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,2015,2,"sector index movement, microblogging, public mood time series, social issues"
Proceedings of the 12th International Conference on Natural Language Processing,2015,0,"5th international conference, natural language processing"
Keynote Lecture 1: Scientific Paper Analysis,2015,0,"scientific paper corpus, keynote talk"
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,2015,0,"class imbalance, spelling error detection, maximum similarity metric"
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,2015,9,"weighting, document vectors, gems"
Online Adspace Posts{'} Category Classification,2015,0,"online adspace, posts' category, classification"
Noun Phrase Chunking for {M}arathi using Distant Supervision,2015,1,"noun phrase chunking, sri, farness"
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,2015,0,"self-organizing map, classification, multi-labeled corpus"
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,2015,7,"word sense ambiguation, hindi language, analogue to language, k-means clustering"
Using Word Embeddings for Bilingual Unsupervised {WSD},2015,2,"word embeddings, bilingual, unsupervised wsd"
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,2015,0,"compositionality, bangla vector verbs, api, mental lexicon"
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,2015,1,"indonet, trilingual dictionary"
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,2015,0,"senseval, multilingual semantic word similarity, latin, urdu"
A temporal expression recognition system for medical documents by,2015,2,"word recognition model, medical records"
An unsupervised {EM} method to infer time variation in sense probabilities,2015,1,"unsupervised mt task, time scales, probabilities"
Solving Data Sparsity by Morphology Injection in Factored {SMT},2015,5,"data sparsity, morphology, factored smt"
Authorship Attribution in {B}engali Language,2015,16,"authorship attribution, hindi language"
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,2015,1,"docchat, cross-lingual instant messaging, indian languages"
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,2015,14,"disk, cry sounds, likely cause of cry"
Perplexed {B}ayes Classifier,2015,0,bayes classifier
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,2015,0,"empirical study, labor, wordrank, alignment symmetrisation, combination lock"
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,2015,6,"domain sentiment, sentiment analyzer"
Extracting Information from {I}ndian First Names,2015,0,"multimedia, indian first names"
punct-An Alternative Verb Semantic Ontology Representation,2015,0,"punct, base verb, product ontology"
{SMT} Errors Requiring Grammatical Knowledge for Prevention,2015,1,"asr errors, grammaticality, abuse"
Isolated Word Recognition System for {M}alayalam using Machine Learning,2015,1,"word recognition model, tamil, machine learning"
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,2015,0,"ideological proportions, ur constraints"
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,2015,0,"text normalization, unit selection, aligment error rates, tamil"
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,2015,0,"morphological analyzer, ssr, paradigmatic approach, knowledge-based method, exponentials"
Resolution of Pronominal Anaphora for {T}elugu Dialogues,2015,2,"pronominal anaphora, telugu dialogues"
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,2015,0,"divergence, tamil language, machine translation"
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),2015,0,"indian language nlp, grammatical framework (gf)"
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,2015,0,"logistic regression, automatic lexical level, model morphology, konkani"
{R}uchi: Rating Individual Food Items in Restaurant Reviews,2015,7,"shiji, food items, restaurant reviews, review"
Dependency Extraction for Knowledge-based Domain Classification,2015,0,"lazy transition, knowledge-based machine"
An Approach to Collective Entity Linking,2015,0,"basis, collective entity"
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,2015,2,"speech trax, speech recognition tasks, tamil language"
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,2015,20,"pos tagging, hindi-english code-mixed text, social media, machine learning model"
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,2015,17,"automated test, bangla, classification, poet identification"
Sentence Boundary Detection for Social Media Text,2015,12,"linguistic restrictors, social media text"
Mood Classification of {H}indi Songs based on Lyrics,2015,15,"topic maps, urdu text, lyrics"
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",2015,5,"memosys, gowvis, part of speech tags, it strategy, twitter post"
A Hybrid Approach for Bracketing Noun Sequence,2015,0,"hybrid approach, bracketing, noun pairs"
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,2015,0,"feature impact, rule optimization, multi-metric optimization, link analysis"
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,2015,8,"multiword expressions, hindi language, word embeddings, wordnet-based features"
Augmenting Pivot based {SMT} with word segmentation,2015,3,"statistical mt (machine translation), word segmentation"
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},2015,3,"multilingual topic model, ict, urdu-english mt"
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},2015,1,"triangulation of reordering tables, yellow, phrase table triangulation, tree-based smt"
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,2015,2,"post-editing, additional resource, 7 languages, terminological variants, latin, efficacy"
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,2015,2,"language corpora, odia language, german texts, cross lingual fertilization"
Translation Quality and Effort: Options versus Post-editing,2015,1,"translation quality, wit, aid, post-editing"
Investigating the potential of post-ordering {SMT} output to improve translation quality,2015,0,"post-ordering smt output, translation quality"
Applying {S}anskrit Concepts for Reordering in {MT},2015,2,"vedic sanskrit, reordering, ht (human translation)"
Dialogue Act Recognition for Text-based {S}inhala,2015,2,"act recognition, text-based sinhala"
A Semi Supervised Dialog Act Tagging for {T}elugu,2015,3,"dialog act tagset, sri"
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,2015,3,"model ranking, minimal feature set, question answer system"
Natural Language Processing for Solving Simple Word Problems,2015,7,"natural language processing, simple word problems"
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,2015,0,"l2 english speakers, fluency, sts, duration, sentence-medial pauses, processing english"
Acoustic Correlates of Voicing and Gemination in {B}angla,2015,0,"acoustic correlates, voicing, gemination, bangla"
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,2015,0,"19th annual conference, china workshop on machine translation"
Exploiting portability to build an {RBMT} prototype for a new source language,2015,4,"portability, femti, source language"
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,2015,0,"hybrid machine translation system, ebmt preprocessor, partial translations"
Using on-line available sources of bilingual information for word-level machine translation quality estimation,2015,8,"on-line available sources, bilingual data, word-level machine translation, quality estimation"
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,2015,6,"first principles, minimizing training corpus, new method, translation technologies, computer-aided translation"
Can Translation Memories afford not to use paraphrasing?,2015,16,"translation rule, paraphrasing"
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},2015,6,"class-based agreement model, constituent pairs, semantic smt"
The role of artificially generated negative data for quality estimation of machine translation,2015,6,"neurally generated text, quality estimation, machine translation"
Document-Level Machine Translation with Word Vector Models,2015,12,"document-level translation, word vector models"
The potential and limits of lay post-editing in an online community,2015,3,"post-editing, online"
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,2015,34,"post-editing dataset, trade-offs, individual speakers"
Benchmarking {SMT} Performance for {F}arsi Using the {TEP}++ Corpus,2015,7,"tm performance, farsi, asap++"
Dynamic Terminology Integration Methods in Statistical Machine Translation,2015,14,"dynamic content, robust methods, statistic machine translation"
Identifying main obstacles for statistical machine translation of morphologically rich {S}outh {S}lavic languages,2015,12,"statistic machine translation, morphologically rich languages"
Poor man{'}s lemmatisation for automatic error classification,2015,2,"lemmatising, automatic error classification"
Truly Exploring Multiple References for Machine Translation Evaluation,2015,12,"multiple references, machine translation"
Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,2015,22,"prose, document-level labels, translation quality estimation"
Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,2015,2,"adjectives, robust methods, selective sharing, tm systems"
Evaluating machine translation for assimilation via a gap-filling task,2015,10,"machine translation, synth, gap-filling task"
Unsupervised training of maximum-entropy models for lexical selection in rule-based machine translation,2015,3,"unsupervised training, maximum-entropy models, lexical choice, rule-based machine translation"
Assessing linguistically aware fuzzy matching in translation memories,2015,15,"linguistically aware fuzzy matching, translation rule"
Re-assessing the {WMT}2013 Human Evaluation with Professional Translators Trainees,2015,7,"wmt2021, translator trainees"
"Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine Translation",2015,5,"flat, monolingual corpus, translation memory, statistic machine translation"
Target-Side Generation of Prepositions for {SMT},2015,3,"target-side word, prepositions, statistical mt (machine translation)"
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques,2015,11,"wordrank, written corpora project, risk, machine learning method"
Content Translation: Computer assisted translation tool for {W}ikipedia articles,2015,5,"chat translation, machine-aided translation tool, wikipedia data"
Pre-reordering for Statistical Machine Translation of Non-fictional Subtitles,2015,0,"preordering, statistic machine translation, non-fictional subtitles"
{SMT} at the International Maritime Organization: experiences with combining in-house corpora with out-of-domain corpora,2015,2,"statistical mt (machine translation), international maritime organization, in-house corpora, out-of-domain corpus"
Evaluation of the domain adaptation of {MT} systems in {ACCURAT},2015,0,"domain adaptive, mt systems, edumt"
{M}ixed{E}motions: Social Semantic Emotion Analysis for Innovative Multilingual Big Data Analytics Markets,2015,0,"goemotions, deep semantic analysis, multilingual text analytics toolkit"
"The {ACCEPT} Academic Portal: Bringing Together Pre-editing, {MT} and Post-editing into a Learning Environment",2015,0,"accept academic portal, pre-editing, ht (human translation), post-editing, reading environment"
{R}ussian-{C}hinese Sentence-level Aligned News Corpus,2015,4,"russian, pinyin, sentence-aligned data"
{H}im{L} (Health in my Language),2015,4,himl (health in my language)
{MT}-enhanced fuzzy matching with Transit {NXT} and {STAR} {M}oses,2015,2,"mt-enhanced fuzzy matching, transit nxt, sethood"
{H}andy{CAT} - An Open-Source Platform for {CAT} Tool Research,2015,0,"handycat, open-source tools, mat tool"
{T}ra{MOOC}: Translation for Massive Open Online Courses,2015,1,"deche, bilingual, massive open online course"
Streamlining Translation Workflows with {S}tyle{S}corer,2015,0,"translation workflows, stylescorer"
{E}stonian-{E}nglish Reversible Smart Phone Dictionary of Military Terms and Relevant Vocabulary,2015,0,"english-russian, reversible smart phone dictionary, medical term, key concepts"
{FALCON}: Federated Active Linguistic data {C}urati{ON},2015,0,"mo, low resource language dataset creation"
Tapad{\'o}ir,2015,0,no scientific entities found.
{O}kapi+{Q}u{E}st: Translation Quality Estimation within Okapi,2015,1,"okapi, zoom, translation quality estimation"
{CRACKER}: Cracking the Language Barrier,2015,3,"language, cracker"
{LTC} {K}now{H}ow: Empowering the Social Enterprise in the Language Industry,2015,0,"social enterprise, travel industry, ltc knowhow"
Multi-Dialect Machine Translation ({M}u{DM}at),2015,1,phrase-based mt (machine translation)
{A}bu-{M}a{T}ran: Automatic building of Machine Translation,2015,1,"abu-matran, manual effort, machine translation"
{MNH}-{TT}: A Platform to Support Collaborative Translator Training,2015,1,"mnh-tt, translation skills, platform"
Smart Computer Aided Translation Environment - {SCATE},2015,0,"machine-aided translation tool, scate"
,2015,0,
Extended Tree Transducers in Natural Language Processing,2015,0,"tree transducers, natural language processing"
Preserving Trees in Minimal Automata,2015,0,"trees, finite automata"
,2015,6,
Count-based State Merging for Probabilistic Regular Tree Grammars,2015,0,"tree-based state tying, probabilistic grammars"
A Direct Link between Tree-Adjoining and Context-Free Tree Grammars,2015,6,"tree-adjoining, context-free grammars"
Automated Lossless Hyper-Minimization for Morphological Analyzers,2015,0,"automated lossless hyper-minimization, morphological analyzer"
Grammar Design with Multi-tape Automata and Composition,2015,4,"grammar size, multi-tape automata, sparse"
Temporal Forces and Type Coercion in Strings,2015,0,"temporal forces, type coercion, strings"
Accounting for Allomorphy in Finite-state Transducers,2015,0,"allomorphy, finite-state transducer"
A Probabilistic Model of {A}ncient {E}gyptian Writing,2015,5,"probabilistic model, ancient latin"
A Hybrid Approach to Grapheme-Phoneme Conversion,2015,1,"hybrid approach, grapheme-phoneme alignment"
Three Equivalent Codes for Autosegmental Representations,2015,4,"tag, autosegmental graphs"
Proceedings of the 14th International Conference on Parsing Technologies,2015,0,17th international conference on parsing technologies
Domain Adaptation for Dependency Parsing via Self-Training,2015,17,"domain adaptive, dependency parsing, self-training"
Combining Active Learning and Partial Annotation for Domain Adaptation of a {J}apanese Dependency Parser,2015,6,"active learning, partial annotation, domain adaptive, french dependency parsers"
Incorporating Complementary Annotation to a {CCG}bank for Improving Derivations for {J}apanese,2015,0,"dense annotation, ccgbank, derivations, japan"
Dependency Parsing with Graph Rewriting,2015,9,"dependency parsing, graph rewriting"
Semantic Parsing for Textual Entailment,2015,10,"semantic parsing, neural entailment"
A Framework for Procedural Text Understanding,2015,27,"aims, procedural text corpus"
Suitability of {P}ar{T}es Test Suite for Parsing Evaluation,2015,2,"suite de tests, parser actions"
Coordination-Aware Dependency Parsing (Preliminary Report),2015,6,lstm-based dependency parsing
{MSTP}arser Model Interpolation for Multi-Source Delexicalized Transfer,2015,7,"mstparser model, interpolation, time-code transfer"
Non-Deterministic Oracles for Unrestricted Non-Projective Transition-Based Dependency Parsing,2015,24,"non-deterministic oracles, non-projective dependency parsing"
Enhancing the Inside-Outside Recursive Neural Network Reranker for Dependency Parsing,2015,2,"inside-outside recursive neural network model, dependency parsing"
Maximising Spanning Subtree Scores for Parsing Tree Approximations of Semantic Dependency Digraphs,2015,1,"spanning subtree scores, tree approximations, phrase dependency parsing"
{CKY} Parsing with Independence Constraints,2015,0,"parsing, complexity assumptions"
Dependency Parsing with Compression Rules,2015,19,"dependency parsing, safetykit"
Stacking or Supertagging for Dependency Parsing {--} What{'}s the Difference?,2015,6,"stacking, supertagging, dependency parsing"
Proceedings of the Third International Conference on Dependency Linguistics (Depling 2015),2015,0,"28th international conference, empirical linguistics, depling 2017"
Invited Talk: The Case for {U}niversal {D}ependencies,2015,0,"invited talk, dependencies"
Invited Talk: Lexicon Embedded Syntax,2015,0,"lexica, simple syntax"
Converting an {E}nglish-{S}wedish Parallel Treebank to {U}niversal {D}ependencies,2015,12,"english-chinese parallel treebank, dependencies"
Targeted Paraphrasing on Deep Syntactic Layer for {MT} Evaluation,2015,0,"free paraphrasing, deep syntactic mt, mt evaluation"
