Title,Year,citations,Scientific Entity Disambigious,FICE Score
{SMT} at the International Maritime Organization: experiences with combining in-house corpora with out-of-domain corpora,2015.0,2,"statistical mt (machine translation), international maritime organization, in-house corpora, out-of-domain corpus",0.04913863461460399
Evaluation of the domain adaptation of {MT} systems in {ACCURAT},2015.0,0,"domain adaptive, mt systems, edumt",0.40776328337405093
{M}ixed{E}motions: Social Semantic Emotion Analysis for Innovative Multilingual Big Data Analytics Markets,2015.0,0,"goemotions, deep semantic analysis, multilingual text analytics toolkit",0.6341994100506863
"The {ACCEPT} Academic Portal: Bringing Together Pre-editing, {MT} and Post-editing into a Learning Environment",2015.0,0,"accept academic portal, pre-editing, ht (human translation), post-editing, reading environment",0.40813600603953115
{R}ussian-{C}hinese Sentence-level Aligned News Corpus,2015.0,4,"russian, pinyin, sentence-aligned data",0.3491304295756703
{H}im{L} (Health in my Language),2015.0,4,himl (health in my language),0.0
{MT}-enhanced fuzzy matching with Transit {NXT} and {STAR} {M}oses,2015.0,2,"mt-enhanced fuzzy matching, transit nxt, sethood",0.6809559674177389
{H}andy{CAT} - An Open-Source Platform for {CAT} Tool Research,2015.0,0,"handycat, open-source tools, mat tool",0.18748768670855281
{T}ra{MOOC}: Translation for Massive Open Online Courses,2015.0,1,"deche, bilingual, massive open online course",0.30851363385304853
Streamlining Translation Workflows with {S}tyle{S}corer,2015.0,0,"translation workflows, stylescorer",0.5638059128071783
{E}stonian-{E}nglish Reversible Smart Phone Dictionary of Military Terms and Relevant Vocabulary,2015.0,0,"english-russian, reversible smart phone dictionary, medical term, key concepts",0.49182663791158254
