Title,Year,Important Words,Citations
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,2015,"large-scale study, statistical machine translation methods, khmer language",7
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015,"english, chinese translation, chinese character",3
Well-Formed Dependency to String translation with {BTG} Grammar,2015,"well-formed dependency, string translation, btg grammar",0
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,2015,"large-scale dictionary construction, pivot-based statistical machine translation, significance pruning, neural network features",5
Annotation and Classification of {F}rench Feedback Communicative Functions,2015,"annotation, classification, french feedback, communicative functions",7
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015,"automatic conversion, sentence-end expressions, utterance characterization, dialogue systems",12
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,2015,"auditory synaesthesia, near synonyms, corpus-based analysis, sheng1, yin1, mandarin chinese",4
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,2015,"system utterance generation, label propagation, association graph, words, utterance patterns, open-domain dialogue systems",9
The Cross-modal Representation of Metaphors,2015,"cross-modal representation, metaphors",0
Writing to Read: the Case of {C}hinese,2015,"writing, read, chinese",6
Design of a Learner Corpus for Listening and Speaking Performance,2015,"learner corpus, listening performance, speaking performance",0
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,2015,"infants' language development, levels of consciousness, agent-based model",0
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,2015,"pivot-based topic models, low-resource lexicon extraction",1
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,2015,"corpus-based study, zunshou, english equivalents",0
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,2015,"self syntactico-semantic enrichment, lmf normalized dictionaries",0
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,2015,"embodiment, generative lexicon, human body part metaphors, sinica corpus",4
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,2015,"degree variables, izyooni `than'-clauses",0
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,2015,"voice, case identity, vp ellipsis, english",0
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,2015,"statistical modeling, correlation, island effects, working-memory capacity, l2 learners",0
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,2015,"de-verbalization, nominal categories, mandarin chinese, corpus-driven study, mainland mandarin, taiwan mandarin",0
Zero Object Resolution in {K}orean,2015,"zero object, resolution, korean",4
An Improved Hierarchical Word Sequence Language Model Using Directional Information,2015,"hierarchical word sequence language model, directional information",3
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,2015,"neural network, language model, chinese pinyin, input method engine",16
Real-time Detection and Sorting of News on Microblogging Platforms,2015,"real-time detection, sorting, news, microblogging platforms",3
Trouble information extraction based on a bootstrap approach from {T}witter,2015,"trouble information extraction, bootstrap approach, twitter",1
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,2015,"twitter data, personal values, japanese consumers",0
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,2015,"distant-supervised language model, detecting emotional upsurge, twitter",0
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,2015,"hybrid method, semi-supervised learning, feature weighted learning, domain adaptation, document classification",4
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,2015,"paraphrase detection, identical phrase, similar word matching",6
Multi-aspects Rating Prediction Using Aspect Words and Sentences,2015,"multi-aspects rating prediction, aspect words, sentences",0
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,2015,"rating behaviour, predicting ratings, representative users",3
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,2015,"cross-lingual pseudo relevance, feedback, weak relevant topic alignment",0
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,2015,"corpus annotation, linguistic analysis, associations, event mentions, spatial expressions",0
Recognizing Complex Negation on {T}witter,2015,"complex negation, twitter",3
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,2015,"topic model, suicidal ideation, chinese microblog",28
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,2015,"sector index movement, microblogging, public mood time series, social issues",2
Proceedings of the 12th International Conference on Natural Language Processing,2015,"12th international conference, natural language processing",0
Keynote Lecture 1: Scientific Paper Analysis,2015,"scientific paper analysis, keynote lecture 1",0
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,2015,"class imbalance, grammatical error detection, evaluation metric optimization",0
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,2015,"words, graded weighting model, composite document vectors",9
Online Adspace Posts{'} Category Classification,2015,"online adspace, posts' category, classification",0
Noun Phrase Chunking for {M}arathi using Distant Supervision,2015,"noun phrase chunking, marathi, distant supervision",1
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,2015,"self-organizing maps, classification, multi-labeled corpus",0
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,2015,"word sense disambiguation, hindi language, hyperspace analogue to language, fuzzy c-means clustering",7
Using Word Embeddings for Bilingual Unsupervised {WSD},2015,"word embeddings, bilingual, unsupervised wsd",2
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,2015,"compositionality, bangla compound verbs, processing, mental lexicon",0
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,2015,"indowordnet dictionary, online multilingual dictionary, indowordnet",1
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,2015,"sense bags, cross lingual word semantic similarity, english, hindi",0
A temporal expression recognition system for medical documents by,2015,"temporal expression recognition system, medical documents",2
An unsupervised {EM} method to infer time variation in sense probabilities,2015,"unsupervised em method, time variation, sense probabilities",1
Solving Data Sparsity by Morphology Injection in Factored {SMT},2015,"data sparsity, morphology injection, factored smt",5
Authorship Attribution in {B}engali Language,2015,"authorship attribution, bengali language",16
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,2015,"transchat, cross-lingual instant messaging, indian languages",1
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,2015,"database, infant cry sounds, likely cause of cry",14
Perplexed {B}ayes Classifier,2015,bayes classifier,0
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,2015,"empirical study, diversity, word alignment, symmetrization techniques, system combination",0
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,2015,"domain sentiment, two stage sentiment analyzer",6
Extracting Information from {I}ndian First Names,2015,"information, indian first names",0
punct-An Alternative Verb Semantic Ontology Representation,2015,"punct, alternative verb, semantic ontology representation",0
{SMT} Errors Requiring Grammatical Knowledge for Prevention,2015,"smt errors, grammatical knowledge, prevention",1
Isolated Word Recognition System for {M}alayalam using Machine Learning,2015,"word recognition system, malayalam, machine learning",1
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,2015,"conservative focused crawling, resource constraints",0
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,2015,"text normalization, unit selection, memory based non uniform unit selection tts, malayalam",0
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,2015,"morphological analyzer, gujarati, paradigm based approach, knowledge based methods, statistical methods",0
Resolution of Pronominal Anaphora for {T}elugu Dialogues,2015,"pronominal anaphora, telugu dialogues",2
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,2015,"divergence, malayalam language, tamil language, machine translation",0
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),2015,"indian language morphological processors, grammatical framework (gf)",0
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,2015,"logistic regression, automatic lexical level, morphological paradigm selection, konkani nouns",0
{R}uchi: Rating Individual Food Items in Restaurant Reviews,2015,"ruchi, food items, restaurant reviews",7
Dependency Extraction for Knowledge-based Domain Classification,2015,"dependency extraction, knowledge-based domain classification",0
An Approach to Collective Entity Linking,2015,"approach, collective entity linking",0
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,2015,"speech corpora, speech recognition tasks, malayalam language",2
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,2015,"pos tagging, hindi-english code mixed text, social media, machine learning experiments",20
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,2015,"automated analysis, bangla poetry, classification, poet identification",17
Sentence Boundary Detection for Social Media Text,2015,"sentence boundary detection, social media text",12
Mood Classification of {H}indi Songs based on Lyrics,2015,"mood classification, hindi songs, lyrics",15
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",2015,"skipgrams, bigrams, part of speech features, sentiment classification, twitter messages",5
A Hybrid Approach for Bracketing Noun Sequence,2015,"hybrid approach, bracketing, noun sequence",0
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,2015,"feature selection, parameter optimization, multi-objective optimization, sentiment analysis",0
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,2015,"multiword expressions, hindi language, word embeddings, wordnet-based features",8
Augmenting Pivot based {SMT} with word segmentation,2015,"pivot based smt (statistical machine translation), word segmentation",3
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},2015,"multilingual topic models, alignment, english-hindi mt",3
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},2015,"triangulation of reordering tables, advancement, phrase table triangulation, pivot-based smt",1
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,2015,"post-editing, specialized textbook, 7 languages, terminological proximity, english, productivity",2
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,2015,"translation corpora, indic languages, bilingual texts, cross lingual fertilization",2
Translation Quality and Effort: Options versus Post-editing,2015,"translation quality, effort, options, post-editing",1
Investigating the potential of post-ordering {SMT} output to improve translation quality,2015,"post-ordering smt output, translation quality",0
Applying {S}anskrit Concepts for Reordering in {MT},2015,"sanskrit concepts, reordering, mt (machine translation)",2
Dialogue Act Recognition for Text-based {S}inhala,2015,"dialogue act recognition, text-based, sinhala",2
A Semi Supervised Dialog Act Tagging for {T}elugu,2015,"semi supervised dialog act tagging, telugu",3
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,2015,"ranking model, reduced feature set, automated question generation system",3
Natural Language Processing for Solving Simple Word Problems,2015,"natural language processing, simple word problems",7
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,2015,"l2 english speakers, fluency, occurrence, duration, sentence-medial pauses, english readout speech",0
Acoustic Correlates of Voicing and Gemination in {B}angla,2015,"acoustic correlates, voicing, gemination, bangla",0
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,2015,"18th annual conference, european association for machine translation",0
Exploiting portability to build an {RBMT} prototype for a new source language,2015,"portability, rbmt prototype, source language",4
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,2015,"hybrid machine translation systems, ebmt preprocessor, partial translations",0
Using on-line available sources of bilingual information for word-level machine translation quality estimation,2015,"on-line available sources, bilingual information, word-level machine translation, quality estimation",8
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,2015,"general framework, minimizing translation effort, principled combination, translation technologies, computer-aided translation",6
Can Translation Memories afford not to use paraphrasing?,2015,"translation memories, paraphrasing",16
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},2015,"dependency-based reordering model, constituent pairs, hierarchical smt",6
The role of artificially generated negative data for quality estimation of machine translation,2015,"artificially generated negative data, quality estimation, machine translation",6
Document-Level Machine Translation with Word Vector Models,2015,"document-level machine translation, word vector models",12
The potential and limits of lay post-editing in an online community,2015,"lay post-editing, online community",3
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,2015,"post-editing evaluations, trade-offs, novice participants, professional participants",34
Benchmarking {SMT} Performance for {F}arsi Using the {TEP}++ Corpus,2015,"smt performance, farsi, tep++ corpus, benchmarking",7
Dynamic Terminology Integration Methods in Statistical Machine Translation,2015,"dynamic terminology, integration methods, statistical machine translation",14
Identifying main obstacles for statistical machine translation of morphologically rich {S}outh {S}lavic languages,2015,"statistical machine translation, morphologically rich south slavic languages",12
Poor man{'}s lemmatisation for automatic error classification,2015,"lemmatisation, automatic error classification",2
Truly Exploring Multiple References for Machine Translation Evaluation,2015,"multiple references, machine translation evaluation",12
Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,2015,"context, document-level labels, translation quality estimation",22
Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,2015,"adjectives, integration techniques, selective stemming, smt systems",2
Evaluating machine translation for assimilation via a gap-filling task,2015,"machine translation, assimilation, gap-filling task",10
Unsupervised training of maximum-entropy models for lexical selection in rule-based machine translation,2015,"unsupervised training, maximum-entropy models, lexical selection, rule-based machine translation",3
Assessing linguistically aware fuzzy matching in translation memories,2015,"linguistically aware fuzzy matching, translation memories",15
Re-assessing the {WMT}2013 Human Evaluation with Professional Translators Trainees,2015,"wmt2013 human evaluation, professional translators trainees",7
"Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine Translation",2015,"large, monolingual corpus, translation memory, statistical machine translation",5
Target-Side Generation of Prepositions for {SMT},2015,"target-side generation, prepositions, smt (statistical machine translation)",3
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques,2015,"word alignment, parallel corpora, evaluation, cleaning, machine learning techniques",11
Content Translation: Computer assisted translation tool for {W}ikipedia articles,2015,"content translation, computer assisted translation tool, wikipedia articles",5
Pre-reordering for Statistical Machine Translation of Non-fictional Subtitles,2015,"pre-reordering, statistical machine translation, non-fictional subtitles",0
{SMT} at the International Maritime Organization: experiences with combining in-house corpora with out-of-domain corpora,2015,"smt (statistical machine translation), international maritime organization, in-house corpora, out-of-domain corpora",2
Evaluation of the domain adaptation of {MT} systems in {ACCURAT},2015,"domain adaptation, mt systems, accurat",0
{M}ixed{E}motions: Social Semantic Emotion Analysis for Innovative Multilingual Big Data Analytics Markets,2015,"mixedemotions, social semantic emotion analysis, innovative multilingual big data analytics markets",0
"The {ACCEPT} Academic Portal: Bringing Together Pre-editing, {MT} and Post-editing into a Learning Environment",2015,"accept academic portal, pre-editing, mt, post-editing, learning environment",0
{R}ussian-{C}hinese Sentence-level Aligned News Corpus,2015,"russian, chinese, sentence-level aligned news corpus",4
{H}im{L} (Health in my Language),2015,himl (health in my language),4
{MT}-enhanced fuzzy matching with Transit {NXT} and {STAR} {M}oses,2015,"mt-enhanced fuzzy matching, transit nxt, star moses",2
{H}andy{CAT} - An Open-Source Platform for {CAT} Tool Research,2015,"handycat, open-source platform, cat tool research",0
{T}ra{MOOC}: Translation for Massive Open Online Courses,2015,"tramooc, translation, massive open online courses",1
Streamlining Translation Workflows with {S}tyle{S}corer,2015,"translation workflows, stylescorer",0
{E}stonian-{E}nglish Reversible Smart Phone Dictionary of Military Terms and Relevant Vocabulary,2015,"estonian-english, reversible smart phone dictionary, military terms, relevant vocabulary",0
{FALCON}: Federated Active Linguistic data {C}urati{ON},2015,"falcon, federated active linguistic data curation",0
Tapad{\'o}ir,2015,"the scientific entity in the title ""tapad'oir"" is ""tapad'oir"".",0
{O}kapi+{Q}u{E}st: Translation Quality Estimation within Okapi,2015,"okapi, quest, translation quality estimation",1
{CRACKER}: Cracking the Language Barrier,2015,"language barrier, cracking",3
{LTC} {K}now{H}ow: Empowering the Social Enterprise in the Language Industry,2015,"ltc knowhow, social enterprise, language industry",0
Multi-Dialect Machine Translation ({M}u{DM}at),2015,multi-dialect machine translation (mudmat),1
{A}bu-{M}a{T}ran: Automatic building of Machine Translation,2015,"abu-matran, automatic building, machine translation",1
{MNH}-{TT}: A Platform to Support Collaborative Translator Training,2015,"mnh-tt, collaborative translator training, platform",1
Smart Computer Aided Translation Environment - {SCATE},2015,"smart computer aided translation environment, scate",0
nan,2015,"""nan"" is not a scientific entity.",0
Extended Tree Transducers in Natural Language Processing,2015,"extended tree transducers, natural language processing",0
Preserving Trees in Minimal Automata,2015,"trees, minimal automata",0
nan,2015,"""nan"" is not a scientific entity. it could potentially refer to ""nanotechnology"" or ""nanometers"", but without additional context, it's not possible to determine the exact scientific entity.",6
Count-based State Merging for Probabilistic Regular Tree Grammars,2015,"count-based state merging, probabilistic regular tree grammars",0
A Direct Link between Tree-Adjoining and Context-Free Tree Grammars,2015,"tree-adjoining, context-free tree grammars",6
Automated Lossless Hyper-Minimization for Morphological Analyzers,2015,"automated lossless hyper-minimization, morphological analyzers",0
Grammar Design with Multi-tape Automata and Composition,2015,"grammar design, multi-tape automata, composition",4
Temporal Forces and Type Coercion in Strings,2015,"temporal forces, type coercion, strings",0
Accounting for Allomorphy in Finite-state Transducers,2015,"allomorphy, finite-state transducers",0
A Probabilistic Model of {A}ncient {E}gyptian Writing,2015,"probabilistic model, ancient egyptian writing",5
A Hybrid Approach to Grapheme-Phoneme Conversion,2015,"hybrid approach, grapheme-phoneme conversion",1
Three Equivalent Codes for Autosegmental Representations,2015,"codes, autosegmental representations",4
Proceedings of the 14th International Conference on Parsing Technologies,2015,14th international conference on parsing technologies,0
Domain Adaptation for Dependency Parsing via Self-Training,2015,"domain adaptation, dependency parsing, self-training",17
Combining Active Learning and Partial Annotation for Domain Adaptation of a {J}apanese Dependency Parser,2015,"active learning, partial annotation, domain adaptation, japanese dependency parser",6
Incorporating Complementary Annotation to a {CCG}bank for Improving Derivations for {J}apanese,2015,"complementary annotation, ccgbank, derivations, japanese",0
Dependency Parsing with Graph Rewriting,2015,"dependency parsing, graph rewriting",9
Semantic Parsing for Textual Entailment,2015,"semantic parsing, textual entailment",10
A Framework for Procedural Text Understanding,2015,"framework, procedural text understanding",27
Suitability of {P}ar{T}es Test Suite for Parsing Evaluation,2015,"partes test suite, parsing evaluation",2
Coordination-Aware Dependency Parsing (Preliminary Report),2015,coordination-aware dependency parsing,6
{MSTP}arser Model Interpolation for Multi-Source Delexicalized Transfer,2015,"mstparser model, interpolation, multi-source delexicalized transfer",7
Non-Deterministic Oracles for Unrestricted Non-Projective Transition-Based Dependency Parsing,2015,"non-deterministic oracles, unrestricted non-projective transition-based dependency parsing",24
Enhancing the Inside-Outside Recursive Neural Network Reranker for Dependency Parsing,2015,"inside-outside recursive neural network reranker, dependency parsing",2
Maximising Spanning Subtree Scores for Parsing Tree Approximations of Semantic Dependency Digraphs,2015,"spanning subtree scores, parsing tree approximations, semantic dependency digraphs",1
{CKY} Parsing with Independence Constraints,2015,"cky parsing, independence constraints",0
