Unique_Word,Count
puisque/since,1
latency,1
nondirectional representation,1
traduction de haute qualite,1
wildlife documentary films,1
systeme de transfert,1
editeur de documents structures,1
believed situation,1
deep modality analysis,1
postedited,1
b-sure,1
social localisation-based smt,1
language adaptive deep neural networks,1
coroutining constraints,1
partial synthesis,1
automated multilingual loanword detection,1
chinese-to-english patent machine translation,1
source discriminative word lexicon,1
internationality,1
robust patr,1
kelabteam,1
llt-polyu,1
list-lux,1
mistake captioning,1
semantic network array processor,1
linguistic iconism,1
similarity-driven transfer system,1
cuab,1
clinical attributes,1
cmills,1
unstructured clinical notes,1
clipeval,1
clac-sentipipe,1
utilizing domain,1
subtasks 10 b,1
shellfbk,1
splusplus,1
utahpoet,1
natural language customisation,1
lois linguistiques,1
el92,1
blcunlp,1
icelandic case marking,1
deep verb sense disambiguation,1
vua,1
teamufal,1
high-level morphological description language,1
sudoku,1
computer-aided linguistic engineering,1
french pronominal clitics,1
teamhcmus,1
reusable nlp dictionaries,1
disorder attribute detection,1
prefaces,1
generating instructive feedback,1
cis-positive,1
gradiant-analytics,1
training polarity shifters,1
warwickdcs,1
swatac,1
one-vs-rest logistic regression,1
twitterhawk,1
feature bucket,1
sentu,1
cogram,1
english delexical structures,1
message level polarity detection,1
twitter-opinminer system,1
learner's dictionary,1
twitter emotional polarity,1
reusable lexical database tool,1
multiple-classifier decision schema,1
enhanced emotion tagging,1
ensemble of class projects,1
swatcs65,1
alcogram,1
swash,1
casual explanations,1
artificially built subsystems,1
flipout regularization,1
coherent argumentative paragraphs,1
140 characters,1
sentibase,1
webis,1
sa tasks,1
interactive defaults,1
traditional linguistic features,1
rosemerry,1
ioa,1
weathra,1
speaker-aware discourse parsing,1
tipster information extraction,1
intelligent patent analysis,1
contextually personalized classification models,1
conversation learner,1
composition of text similarity measures,1
beam-search,1
nstm,1
real-time query-driven news overview composition,1
bloomberg,1
supp.ai,1
lean-life,1
drama improvisation,1
document optimizations,1
core actors clustering,1
label-efficient annotation framework,1
practical statistics,1
network regularization,1
latent community discovery,1
torch-struct,1
touch reordering,1
embedding-based scientific literature discovery,1
opusfilter,1
jiant,1
general-purpose text understanding models,1
lingglewrite,1
coaching system,1
clireval,1
thread specific features,1
nakdan,1
prta,1
photon,1
mixingboard,1
rnn parser,1
knowledgeable stylized integrated text generation platform,1
funlines,1
usnea,1
pram\=aṇa texts,1
sanskrit nlp corpus building,1
community-sourced indic knowledge processing,1
korektor,1
court texts,1
affective load differences,1
pangeanic use cases,1
random subspaces,1
belief functions,1
tsvm (twin support vector machine),1
global under-resourced media translation (gourmet),1
legality recognition,1
genealogical relationships,1
rule-based machine translation knowledge,1
cyber security event collection system,1
fashion ecommerce,1
contextualized replacement systems,1
panini,1
reducing translation shifts,1
sourcing,1
vaijayant\=\iko\'sa knowledge-net,1
technical dimension measurements,1
p\=ali sandhi,1
free indirect discourse,1
literary mt systems,1
sport,1
co-ranking,1
temporal dimension measurements,1
cognitive dimension measurements,1
business story,1
pen-voice integrated approach,1
subprocesses,1
optimal scheduling,1
keylogging study,1
personality adjectives,1
mtpe,1
stanza,1
volunteers,1
bumblebee species,1
s-restricted monotone alignments,1
near-meet-semilattices,1
pseudo visual pivoting,1
frugal paradigm,1
flexible structural analysis,1
learner-specific word difficulty,1
wordhood memory networks,1
topic summarization,1
mobile ui action sequences,1
auto-analyzed knowledge,1
visual priors,1
discrete annotation,1
possession existence,1
co-possession,1
semantic sub-network extraction,1
semantic cohesion model,1
structured term recognition,1
efficient hpsg generation,1
zeroshotceres,1
physical reasoning tasks,1
$n$-gram fragment sequence,1
role filler extraction,1
ilp-based weighted abduction,1
multi-sentence argument,1
rewriting states,1
prioritization model,1
negative case analysis,1
method mention,1
cluwords,1
intrinsic relevance,1
unit constraints,1
walk-based computation,1
distributed platform,1
dense word embeddings,1
unexplored generalization challenges,1
codalab,1
recurring $n$-grams,1
secret sharing,1
adjective deletion,1
seqvat,1
xiaomingbot,1
textbrewer,1
open-source knowledge distillation toolkit,1
pybart,1
lexical dataset biases,1
providence corpus,1
evidenceminer,1
trialstreamer,1
input size,1
syntaxgym,1
bento,1
headless mwes,1
question-answer driven sentence encoding,1
semantic type regularization,1
regularized context gates,1
genetic texts,1
txtract,1
phenotype candidates,1
taxonomy-aware knowledge extraction,1
product meta-domain,1
entity triggers,1
automated topical component extraction,1
nile,1
font selection,1
smart to-do,1
to-do items,1
simplification-translation-restoration framework,1
end-to-end bias mitigation,1
in-distribution performance,1
english-persian smt output,1
paracrawlpipeline,1
monolingual backtranslation,1
gold programs,1
representation unit,1
gile,1
column generation,1
generalized input-label embedding,1
bangla polymorphemic words,1
complex program induction,1
categorical metadata representation,1
latent metric space,1
weak feedback,1
affix stacking languages,1
bipolar ramp loss,1
less skewed distributions,1
maximal user task success,1
minimal human agent use,1
rotational unit of memory,1
input noise,1
opinionated patterns,1
logical and computational methodology,1
causative alternation,1
gendered online communities,1
c-command dependencies,1
tsl string constraints,1
lepor,1
balanced punctuation,1
augmentic compositional models,1
dictionary-based english-bengali clir,1
tsl syntax,1
expected divergence,1
unlexicalized transition-based,1
classifier-based tense model,1
ru-eval-2012,1
ocr`d text,1
transformation weighting model,1
tabula rasa,1
blended gradient inputs,1
alpacatag,1
postac,1
phd intensive job postings,1
k-best spanning tree,1
square-mean-root approach,1
smr-cmp,1
stand-alone embedded devices,1
fastdial,1
jiuge,1
fusional concatenation rules,1
knowledge-constraint typing annotation tool,1
gltr,1
computer-assisted near-synonym learning system,1
scale linguistic datasets,1
turkish hypernym-hyponym pairs,1
rapid customization,1
rapid document triage,1
\mbox$\pi$-languages,1
named entities taxonomy,1
eanc platform,1
generic statements,1
probabilistic refinement algorithms,1
habitual statements,1
episodic statements,1
numeric fused-head identification,1
sakura,1
saral,1
large-scale incorrect example retrieval system,1
slate,1
super-lightweight annotation tool,1
hashing filter,1
best-first anagram,1
lingvis.io,1
socially motivated language change,1
lexically scaled maxent,1
grafix,1
friendsqa,1
graph2bots,1
chinese frame disambiguation method,1
deepcopy,1
looking-ahead ability,1
log dialogue ranking,1
tag dispatch model,1
collaborative task-oriented dialogue,1
rainbow deep reinforcement learning agent,1
ultraconservative update,1
question-guided video representation,1
tddiscourse,1
expected error minimization,1
discourse-level temporal ordering,1
cross-domain conversational ai,1
energy-based neural dialogue state tracker,1
time masking,1
acoustic addressee detection,1
multiple error labels,1
diagnostic interviews,1
subjective logic,1
tm threshold,1
multi-shifted recurrent neural network,1
magmatic,1
multi-domain academic gold standard,1
business-related tweets,1
social network regularization,1
placeholding,1
subword merge operations,1
fluently inadequate output,1
banking and finance domain,1
sim,1
slot-independent neural model,1
hermit nlu,1
role of pitch,1
featureforge,1
logically equivalent,1
scientific entities: sentence length,1
neural boxer,1
iwcs shared task,1
successor surprisal effects,1
redtyp,1
q-theory representations,1
human-like abstract word order preferences,1
proof assistant agda-flat,1
ur acquisition,1
ur constraints,1
constraint breeding,1
speakers' interaction experience,1
incremental iterated response model,1
learning exceptionality,1
output tier-based,1
dependently-typed montague semantics,1
response space of questions,1
biomimetic model,1
audio spectrograms,1
behaviour trees,1
coached conversational preference elicitation,1
abuse response strategies,1
dynamic strategy coach,1
effective negotiation,1
acoustic-phonetic landmarks,1
trivalent semantics,1
system dialogue act selection,1
b. rex,1
unified sentence space,1
holistic interaction structuring,1
primitive decomposition,1
sensing tree automata,1
bleurt,1
generic and flexible citation classifier,1
inference calibration,1
older papers,1
instruction parsing,1
voxel-world assistant,1
protermino,1
piece of string,1
rated inventory,1
snark,1
inconsistent dialogue,1
influence paths,1
discrete signals,1
compositional signals,1
linport,1
spying on your neighbors,1
fine-grained probing,1
dense-caption matching,1
frame-selection gating,1
craftassist,1
babelpic,1
fatality,1
virtus\mbox$^\mboxtm$,1
eraser,1
rationalized nlp models,1
faithfully rationalize,1
cesar,1
emrqa dataset,1
deformer,1
large-scale phonetic typology,1
multiple rewriting transformations,1
eastin-cl,1
futures field,1
occasional authors,1
gender-inclusive,1
sensebert,1
asset,1
rectifier networks,1
contrastive sentence objectives,1
technologies in the workplace,1
main event,1
query-specific information,1
political agreement,1
stacking heterogeneous joint models,1
learning machine alignment,1
social preferences,1
function of event,1
petra,1
forecasting skill,1
sparsely supervised memory model,1
relationlistwise,1
people tracking,1
zpr2,1
word intensions,1
algorithmic explanations,1
ideal points,1
message-level attention,1
language professionals' satisfaction,1
fact-based content weighting,1
diversity-informed data collection,1
semantic scholar open research corpus,1
perceptions of control,1
s2orc,1
novel chapters,1
standalone tool,1
controlled styles,1
long-tail distributions,1
semantic-driven cloze reward,1
summary loop,1
copycat-review generation,1
learning paraphrase query patterns,1
advancing forwards,1
looking backwards,1
fairer political claims detection,1
bologna,1
political parody,1
price history,1
task-specific parameterization,1
span-based linearization,1
second-order treecrf,1
dynamic online conversation,1
entity span detection,1
stock embeddings,1
explicit negative examples,1
lt-innovate,1
relational memory-based embedding model,1
scissors,1
reinforced generation,1
retrieve-and-rewrite initialization method,1
transformer batch size,1
monitoring gradient direction change,1
proposition-level biaffine parsing,1
non-tree argument mining,1
levenshtein transformer,1
entity-aware cnns,1
job posting generation,1
hypercore,1
co-graph representation,1
sustainable agricultural,1
hyperbolic capsule networks,1
mooccube,1
organic.lingua,1
syntax-aware opinion role,1
content annotation,1
ecpe-2d,1
tosca-mp,1
joint two-dimensional representation,1
spanmlt,1
pair-wise aspect,1
ccg-based syntactic constraints,1
limited indomain data,1
argument conclusion generation,1
bi-directional locality,1
keyword correlation graph,1
autoencoding pixies,1
clubert,1
goemotions,1
skep,1
in-order linearization,1
inconsistent natural language explanations,1
adaptive compression,1
parameter-free probing,1
transparent and explainable attention models,1
tchebycheff procedure,1
accessories,1
complex case,1
accept,1
gf eclipse plugin,1
soft evidence extraction,1
plotting,1
atlas content management system,1
gluecos,1
matinf,1
conjoint analysis,1
known lie,1
birre,1
eclipse,1
small discrepancies,1
segmented embedding,1
boundary repositioning,1
sentibert,1
ch-sims,1
curriculum pre-training,1
accent information,1
modeling cross-modality contrast,1
esl word choice similarities,1
multi-view adaboost,1
evaluative information analysis,1
edge features,1
state generation,1
response co-generation,1
contextual word-level style,1
aligned dual channel graph,1
non-negative sparse embedding,1
span features,1
noun compound analysis,1
kdconv,1
refer360$^\circ$,1
weakly supervised youtube video categorization system,1
360$^\circ$ images,1
youcat,1
lightweight discourse analysis,1
null it out,1
meta-reinforced,1
terminology clustering,1
iterative nullspace projection,1
corefqa,1
highway transformer,1
self-gating,1
classification-based self-learning,1
situational power,1
must-she corpus,1
joint de-identification,1
zero to hero,1
suspicion trees,1
collective search,1
conjectural queries,1
tibetan base noun phrase identification framework,1
high-quality qa-srl annotation,1
semantic similarity detection,1
countering debate speeches,1
no structure,1
2kenize,1
semantic reinforced entity embeddings,1
functional language learning,1
feature-opinion association weight,1
relation-aware schema encoding,1
open domain event trigger identification,1
thousands of characters,1
compguesswhat?!,1
web-based procedures,1
hardware-aware transformers,1
good-enough compositional,1
hard-coded gaussian attention,1
faceted classification scheme,1
paradigm discovery problem,1
orthographic schwas,1
negated probes,1
misprimed probes,1
rat-sql,1
\#twitter trends detection topic model online,1
bad structure,1
nmrl,1
clarq,1
doqa,1
easy-first,1
mlqa,1
kernel graph attention network,1
topical word trigger model,1
mixed language speech recognition,1
deep long-range memory,1
inversion constraints,1
end-to-end promise,1
type awareness,1
event type determination,1
scirex,1
psp,1
generalized entropy regularization,1
flat-lattice transformer,1
hierarchical explanations,1
location-dependent term irregularities,1
multi-way tensor factorization,1
joint local-global structural information,1
advaug,1
cataphoric pronouns,1
neural-dinf,1
efficient discrimination,1
fastbert,1
ner domain adaptation,1
self-distilling bert,1
adaptive inference time,1
logicalfactchecker,1
multimodal regex synthesis,1
complex structures,1
evidence-aware inferential text generation,1
reinceptione,1
multi-cell compositional lstm,1
neer,1
span-based question answering,1
learning sparse alignments,1
intermediate annotations,1
consistent question answering,1
high quality distractors,1
selective question answering,1
resolved threads,1
starc,1
imojie,1
sub-corpora sampling,1
winowhy,1
cyber argumentation,1
stance polarity,1
opiniondigest,1
discontinuous ner,1
neuinfer,1
neural graph matching networks,1
two-stage masked lm method,1
declension class,1
h - 1 heads,1
h heads,1
differentiable window,1
dynamic local attention,1
extended search space,1
instance complexities,1
r4c,1
span-based localizing network,1
right answer,1
right reason,1
recurrent chunking mechanisms,1
rikinet,1
mwe acquisition,1
drts parsing,1
diverse dirichlet process ensemble,1
unsupervised bilingual grammar induction,1
neural mixed counting models,1
protein sequence,1
dispersed topic discovery,1
tetra-tagging,1
adaptive objective,1
shaping,1
slot information sharing,1
sensitive response,1
verb group,1
synchronous double-channel recurrent network,1
amalgamation,1
web-scale selectors,1
severity assessment,1
mie,1
neighborhood matching network,1
form-like documents,1
openkiwi,1
imag possibilities,1
microsoft icecaps,1
perspectroscope,1
task refinement learning,1
referential reader,1
spectral ngram,1
born-again multi-task networks,1
inconsistent assessors,1
automated chess commentator,1
predict diffusions,1
neural chess engine,1
comprehensive description generation,1
factual attribute-value tables,1
high-impact sub-structures,1
disentangled syntactic spaces,1
storyboarding,1
fine granular aspect,1
heuristic cube,1
variational pretraining,1
pseudo-error sentences,1
joint feature selection,1
specialized heads,1
observing,1
target-guided,1
functional neuron pathways,1
collocation classification,1
check-up,1
confusionset-guided pointer networks,1
flexible policy,1
distributed stochastic learning,1
sits,1
restricted imitation learning,1
haptic voice recognition,1
merge and label,1
deep entity resolution,1
semantic blocks,1
rankqa,1
nlprolog,1
生成,1
use words,1
learning numeracy,1
detecting exaggerated information,1
sentence identity,1
visible actions,1
discover,1
ground,1
conversationally informative rewards,1
bias analysis,1
interpretation of instructions,1
codraw,1
collaborative drawing,1
image grounded vocabulary construction,1
distilling translations,1
vifidel,1
aspect error correction,1
movie-dic,1
intra-relation,1
mc^2,1
translation span alignment,1
different functional multi-head attentions,1
multi-view domain adaptation,1
word epoch disambiguation,1
roundtrip consistency,1
red roses,1
multi-perspective convolutional cube,1
morphological hole filling,1
nigerian online discussions,1
sparse matrix operations,1
news archive,1
durations,1
automated framework,1
graphical decomposition,1
technicolor,1
class-based agreement model,1
substructure sharing,1
open discussion,1
interconnected question generation,1
iterative viterbi a* algorithm,1
hierarchical reinforced sequence operation method,1
community answer summarization,1
divergent reference texts,1
resource-free evaluation metric,1
convolution units,1
generalized tuning,1
dependency hashing,1
modified distortion matrices,1
affirmative action processing,1
negated action processing,1
word-order biases,1
deep-agent,1
coherent comments generation,1
k-best sequential decoding,1
nne,1
conservative estimate,1
parsing bottlenecks,1
higher-order dynamic mode decomposition,1
sembleu,1
salient dates,1
creative naming,1
schema structure,1
glue benchmark,1
taxonomy refinement algorithm,1
paraphrastic similarity,1
relative argument specificity,1
selective sharing,1
reason comparing networks,1
comprehensive understanding,1
hellaswag,1
re-writing kernel,1
english newswire,1
therapy,1
example values,1
attribute aware response generation,1
memory consolidation,1
l0-norm,1
sumbt,1
slot-utterance matching,1
scalable belief tracking,1
differentiable dynamic programming,1
on-demand machine reading,1
enhancing elegance,1
partial-input baselines,1
question deduplication,1
frequency-adaptive learning rates,1
depth,1
explainable nlp,1
read between the lines,1
compound assessment,1
sequence-to-nuggets,1
neural aspect,1
anchor-region networks,1
scientific leaderboards construction,1
bayesian symbol-refined tree,1
open tagging,1
comprehension empowered attribute value extraction,1
latent-variable sequence labeling approach,1
web features,1
label-agnostic sequence labeling,1
collective generation,1
cost-sensitive regularization,1
label confusion-aware event detection,1
online infix probability computation,1
bayesian logic programs,1
prism module,1
visual fidelity,1
how2 videos,1
syntactic stylometry,1
educational dialog,1
exploration cartographique,1
comparison relation labeling,1
one-adjective-quantifier-noun,1
messages aux navigants aériens,1
campagne d'\'evaluation deft 2019,1
group history,1
team lai,1
gpc rules,1
landmark-based location,1
"appearance and disappearance of ""de""",1
extraction-based document indexing,1
mediating shared perceptual basis,1
l'\'equipe taln du ls2n,1
ensemble systems,1
addressee backchannels,1
multilingual aggrefilter,1
qwant research,1
set of links,1
polylexfle,1
base de données d'expressions polylexicales,1
spatial instruction-giving systems,1
personnes en situation de handicap,1
chae,1
ensemble de liens,1
personalized normalization,1
agr\'efilter,1
cameli@,1
am\'eliorer la relation client,1
customer relationship,1
nlp-based tweet search,1
metaphor-magnet web app/service,1
sylnews,1
the ls2n team,1
visibility,1
mod\'elisation de s\'equences,1
smart posterboard,1
impolite relationships,1
disoriented human balancing task,1
sparse log-linear models,1
sentence informativeness,1
formation au diagnostic médical (medical diagnostic training),1
ma copie adore le v'elo,1
analyse des besoins r'eels en correction orthographique,1
corpus biom'edical comparable technique / simplifi'e,1
corpus de dict'ees d'enfants,1
sch\'emas winograd fran\ccais,1
problem of the acquisition of phonotactics,1
l'expérience client,1
restaurants,1
metathesis,1
core journals,1
adherence to treatment,1
l'étiquetage de cas cliniques,1
corpus d'entra\^\inement,1
single item adjective attributives,1
double negation structure,1
reweighted speaker adaptation,1
analyse faiblement supervisée de conversation en actes de dialogue,1
évaluation qualitative extrinsèque,1
context of educational courses,1
组合范畴语法,1
non-adhérence médicamenteuse,1
范畴转换,1
temporal simulator,1
interactions aliment-medicament,1
partners,1
demonette2,1
virtual museum guides,1
trois mondes,1
po\'esie,1
bounding boxes,1
potential structure,1
seeded self-play,1
beefmoves,1
information disparity,1
chinese amr bank,1
island constraint,1
glue perspective,1
多目标词联合框架,1
eigencharacter,1
cat\'egories de relations aliment-m\'edicament,1
running key ciphers,1
genre independent subgroup detection,1
relationship strength,1
food-drug relations,1
scalable event detection,1
gaze aggregation views,1
german hip hop forum,1
burst-based text representation model,1
ordered tree decomposition,1
syntactically meaningful and transferable recursive neural networks,1
scalable micro-planned generation,1
enron organizational hierarchy,1
inference-rule evaluation,1
extremes,1
source-side phrase structures,1
hrg rule extraction,1
adjectives of size,1
多粒度融合 (multi-granularity fusion),1
实体信息增强 (entity information enhancement),1
circuits,1
语义分析模型,1
executable neural semantic parser,1
global role ordering,1
entropic characterisation,1
social event radar,1
opengrm,1
r\'egularisation de la d\'erive,1
transformation of enhanced dependencies,1
annotation-by-query,1
logiciel talismane,1
自动转换,1
csniper,1
增强依存句法,1
drift regularisation,1
accurat toolkit,1
entailment-based text exploration,1
biutee,1
approche r\'eseaux complexes,1
factors influencing them,1
children's mental vocabulary output strategies,1
finite-state grammar software libraries,1
research prospects,1
illume,1
flow,1
contemporary french,1
uwn,1
exploiting lexical,1
akamon,1
融合知识,1
news schemata,1
2012 u.s. presidential election cycle,1
termes complexes,1
inpro_iss,1
combined application,1
r\`egles et ressources adapt\'ees au rep\'erage de ph\'enom\`enes linguistiques sp\'ecifiques,1
rules and resources,1
nominal verb polyfunctionality index,1
analyse multicrit\`ere,1
wizie,1
lexical affinities,1
eigensent,1
structured preference modeling,1
meta-domains,1
diag-nre,1
neural pattern diagnosis framework,1
informative entities,1
neural multi-digraph model,1
marginalizing over segmentations,1
konkani verb morphological analyzer,1
quaternion networks,1
ne transliteration tool,1
imperfect time series data,1
tensor rank regularization,1
lossless encoding,1
delayed rewards,1
stochastic tokenization,1
domex,1
graphrel,1
attention regularization,1
offshore development,1
clean-data selection,1
poetry to prose conversion,1
ranked lexical features,1
linearisation task,1
learning emphasis selection,1
lattice inputs,1
the neuter,1
co-curricular learning,1
arnor,1
monotonic infinite lookback attention,1
global textual relation embedding,1
generated parameters,1
entity bio tag embeddings,1
romanian gender system,1
relation distribution losses,1
gender-preserving debiasing,1
example-based japanese proofreading system,1
personal health mention detection,1
dragomir radev,1
incremental draft generation,1
expert mt systems online,1
rhetorically controlled encoder-decoder,1
head-modifier templates,1
deep type description generation,1
key fact as pivot,1
rada mihalcea,1
data-efficient neural instruction following,1
reinforced dynamic reasoning,1
salient information modeling,1
biset,1
adaptive rewards,1
scoring sentence singletons,1
artificial titles,1
paperrobot,1
ikar,1
mitigating gender stereotypes,1
measuring systematicity,1
transparent framework,1
lstmembed,1
undesirable word embedding associations,1
word root finder,1
hyperspherical relation embeddings,1
meaning to form,1
reordering embeddings,1
pre-learning environment representations,1
neural fuzzy repair,1
sentence codes,1
instruction fidelity,1
photobook dataset,1
continual,1
数学文字题生成,1
sequence labelling task,1
symptom words,1
global graph structure optimization,1
jmaxalign,1
dihedral group,1
named-event passages,1
thutr,1
shahmukhi transliteration system,1
entity-predicate pair detection,1
manual domain adaptation,1
domain specific phrase table,1
reliability-aware dynamic feature composition,1
vocal cues,1
pollyanna phenomena,1
concealed information,1
fokas,1
evidence-based trustworthiness,1
task of email subject line generation,1
spatial aggregation,1
inupiaq word segmentation,1
hierarchical feature fusion network,1
domain based,1
heidl,1
smt-driven authoring tool,1
interleaved e-book reading tool,1
unl explorer,1
excotate,1
grapal,1
claimportal,1
bilstm-based dependency parsers,1
monoise,1
elissa,1
on's distribution characteristics,1
deliberation decoder,1
interpretive spatio-temporal features,1
compressed sentence representations,1
time-out,1
svm kernel methods,1
figurative usage detection,1
complex reasoning,1
attention-based walks,1
coupling retrieval,1
non nlp-specialists,1
gear,1
sherliic,1
typed event-focused lexical inference benchmark,1
surrogacy,1
local topic quality,1
debate topic expansion,1
argument invention,1
softlexicon,1
probability weighted word saliency,1
deepsentipeer,1
gated embeddings,1
nested markable annotations,1
chid,1
crab reader,1
dual cross-shared rnn,1
local perspectives,1
financial analysts' decision making,1
argument graph construction,1
meld,1
terabyte challenge,1
transfer capsule network,1
aspect term-polarity co-extraction,1
errudite,1
blog distillation,1
feedback-based feature learning,1
objects of unknown categories,1
chinese causality extraction,1
onesec,1
sp-10k,1
abstractive title generation,1
inferential machine comprehension,1
sparc,1
miss tools,1
efficient ilp solution,1
on-device structured,1
context partitioned projection networks,1
end-to-end sequential metaphor identification,1
diachronic sense modeling,1
ecological view,1
mr fruit,1
vocabulary pyramid network,1
child's play,1
deep clausal embeddings,1
number cues,1
self attentive edit,1
broad-coverage normalization system,1
lions,1
cocgan,1
tqdl,1
validating event-focused emotion corpora,1
question relevant captions,1
continuous decomposition,1
women's syntactic resilience,1
multisyn synthesizers,1
men's grammatical luck,1
eli5,1
self-supervised open-set comprehension,1
generated paragraph captions,1
phonetic component ranking,1
hts-2008,1
shared-private,1
specific emotion,1
recosa,1
budgeted policy learning,1
retrieval-enhanced adversarial training,1
thesis strength,1
sense making,1
result verb,1
joint template filling,1
precision-order-recall mt evaluation metric,1
port,1
memorability,1
legal activity,1
doubly adversarial inputs,1
multiple word prototypes,1
delta-representation learning,1
adansp,1
external linguistic knowledge,1
a2n,1
attending to neighbors,1
embedding time expressions,1
deep temporal ordering models,1
dense-sparse phrase index,1
uncertainty-driven adaptive decoding,1
incomplete kbs,1
hubless nearest neighbor search,1
gradient search,1
minor errors,1
domain adaptation models,1
