Title,Year,Important Words,Citations
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015,"bidirectional long short-term memory models, relation classification",157
Distant Supervision for Entity Linking,2015,"distant supervision, entity linkage",10
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,2015,"syntax based smt, biographical data, soft gazetteers, ancient china",4
Fast and Large-scale Unsupervised Relation Extraction,2015,"fast, large-scale, unsupervised relation extraction",7
Reducing Lexical Features in Parsing by Word Embeddings,2015,"lexical features, parses, word embeddings",3
High-order Graph-based Neural Dependency Parsing,2015,"high-order, graph-based neural dependency parser",4
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,2015,"dynamic codes, postposing, japanese narratives",1
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015,"unsupervised, lightly superviced, part-of-speech tagging, recurrent networks",15
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015,"iwslt-2009 mt system, chinese patent texts, rule-based method, crf methods",0
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,2015,"japanese sentiment classification, stacked denoising autoencoder, distributed word models",8
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015,"wikipedia, sentiment analysis, war-related wikipedia articles, 1945",4
A Comprehensive Filter Feature Selection for Improving Document Classification,2015,"comprehensive filter feature selection, code classification",6
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015,"classification, rich features, ironic tweets, sarcastic memes",6
{T}hai Stock News Sentiment Classification using Wordpair Features,2015,"thai stock news, extracting data, wordpair features",1
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015,"extracting data, arabic documents, multifeature, algorithms",24
The Invertible Construction in {C}hinese,2015,"invertible construction, chinese",0
Pan{'}s (2001) puzzle revisited,2015,pan's (2001) puzzle,1
{E}nglish Right Dislocation,2015,english right dislocation,1
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015,"comparative, mandarin, cantonese, resultative verb compounds",0
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015,"complex-np islands, korean, experimental approach",4
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015,"multiple subject constructions (mscs), korean",1
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,2015,"large-scale study, machine-translation approach, khmer-english",7
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015,"english, chinese to english, chinese character",3
Well-Formed Dependency to String translation with {BTG} Grammar,2015,"well-formed dependency, string translation, btg grammar",0
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,2015,"large-scale dictionary, phrase pivot, significance pruning, neural image",5
Annotation and Classification of {F}rench Feedback Communicative Functions,2015,"annotate, classification, french feedback, communicative functions",7
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015,"automatic converter, sentence-end expressions, utterance classification, punjabi alphabet",12
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,2015,"synesthesia, near-synonym, corpus mining, sheng1, yin1, chinese mandarin",4
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,2015,"german email corpus, label propagation, relation graph, words, utterance patterns, football world cup",9
The Cross-modal Representation of Metaphors,2015,"cross-modal representation, metaphors",0
Writing to Read: the Case of {C}hinese,2015,"writing, read, chinese",6
Design of a Learner Corpus for Listening and Speaking Performance,2015,"learner corpus, linguistic behavior, linguistic behavior",0
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,2015,"infants' language development, levels of consciousness, agent-based model",0
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,2015,"pivot-based modeling, tregex",1
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,2015,"corpus-based bias, zunshou, english phrases",0
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,2015,"lexico-semantic annotation, lmf-normalized dictionaries",0
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,2015,"embodiment, generative lexicon, human body part metaphors, sinica corpus",4
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,2015,"degree variables, izyooni `than'-clauses",0
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,2015,"voice, case identity, vp ellipsis, english",0
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,2015,"statistical modeling, correlates, wh-islands, working-memory capacity, l3 learning",0
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,2015,"verbalism, nominal categories, chinese mandarin, corpus-based bias, baseline results, taiwan mandarin",0
Zero Object Resolution in {K}orean,2015,"zero object, resolution, korean",4
An Improved Hierarchical Word Sequence Language Model Using Directional Information,2015,"pit corpus, directional information",3
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,2015,"neural system, language model, pinyin, input method",16
Real-time Detection and Sorting of News on Microblogging Platforms,2015,"real-time detection, sort, news, signbank",3
Trouble information extraction based on a bootstrap approach from {T}witter,2015,"trouble information extraction, bootstrap approach, twitter",1
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,2015,"twitter data, personal values, japanese consumers",0
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,2015,"unsupervised language model, path of motion, twitter",0
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,2015,"hybrid method, supervised data, feature-weight learning, domain adaptation, code classification",4
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,2015,"paraphrase detection, identical phrase, similar words",6
Multi-aspects Rating Prediction Using Aspect Words and Sentences,2015,"west african languages, aspect words, sentences",0
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,2015,"rating behaviour, predicting ratings, user relations",3
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,2015,"cross-lingual pseudo relevance, feedback, weak relevant topic alignment",0
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,2015,"corpus annotation, linguistic analyses, associations, relu, spatial expressions",0
Recognizing Complex Negation on {T}witter,2015,"logical negation, twitter",3
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,2015,"topic model, suicidality, weibo messages",28
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,2015,"acknowledgment use, microblog, public mood time series, challenges",2
Proceedings of the 12th International Conference on Natural Language Processing,2015,"12th international conference, natural language processing",0
Keynote Lecture 1: Scientific Paper Analysis,2015,"information gain ratio, keynote",0
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,2015,"class imbalance, grammar error detection, evaluation metric optimization",0
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,2015,"words, weighting model, composite document vectors",9
Online Adspace Posts{'} Category Classification,2015,"online adspace, posts' category, classification",0
Noun Phrase Chunking for {M}arathi using Distant Supervision,2015,"noun-phrase chunking, marathi, distant supervision",1
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,2015,"self-organizing map, classification, labelled corpus",0
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,2015,"word sense disambiguation, hindi, hyperspace analogue to language, fuzzy sets",7
Using Word Embeddings for Bilingual Unsupervised {WSD},2015,"word embeddings, bilingual, multi-relational",2
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,2015,"compositionality, bangla compound verbs, process, live lexicons",0
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,2015,"indowordnet, stock markets, indowordnet",1
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,2015,"sense bags, distress, english, hindi",0
A temporal expression recognition system for medical documents by,2015,"inference rule verification, medical documents",2
An unsupervised {EM} method to infer time variation in sense probabilities,2015,"unsupervised method, time variation, sense probabilities",1
Solving Data Sparsity by Morphology Injection in Factored {SMT},2015,"legal rules, morphology injection, factored smt",5
Authorship Attribution in {B}engali Language,2015,"authorship, bangla language",16
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,2015,"transchat, semantic concordance, indian english",1
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,2015,"dataset, infant cry sounds, likely cause of cry",14
Perplexed {B}ayes Classifier,2015,naive bayes-svm,0
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,2015,"emprical study, diversity, text alignment, symmetrization techniques, combined systems",0
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,2015,"news sentiment, two stage sentiment analysis",6
Extracting Information from {I}ndian First Names,2015,"information, indian first names",0
punct-An Alternative Verb Semantic Ontology Representation,2015,"punct, alternative verb, semantic ontology",0
{SMT} Errors Requiring Grammatical Knowledge for Prevention,2015,"smt errors, grammatical knowledge, prevention",1
Isolated Word Recognition System for {M}alayalam using Machine Learning,2015,"text recognition, malayalam, machine-learning",1
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,2015,"conservative focused crawling, resource demand",0
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,2015,"text smoothing, unit selection, memory based non uniform unit selection tts, malayalam",0
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,2015,"turkish morphology, gujarati, paradigmatic approach, knowledge-based method, statistical methods",0
Resolution of Pronominal Anaphora for {T}elugu Dialogues,2015,"rocling xvi, telugu dialogues",2
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,2015,"divergent, malayalam, tamil language, machine translate",0
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),2015,"hindi morphological analyzer, open domain conversation",0
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,2015,"logistic regression, automatic lexical level, morphological paradigm, konkani",0
{R}uchi: Rating Individual Food Items in Restaurant Reviews,2015,"ruchi, food items, restaurant reviews",7
Dependency Extraction for Knowledge-based Domain Classification,2015,"dependency extraction, knowledge-based domain classification",0
An Approach to Collective Entity Linking,2015,"approach, global entity linking",0
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,2015,"speech corpora, speech recognition tasks, malayalam",2
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,2015,"pos tagging, english-hindi code-mixed text, social media, machine-learning",20
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,2015,"automated analysis, bangla poetry, classification, poet identification",17
Sentence Boundary Detection for Social Media Text,2015,"proscript, social media text",12
Mood Classification of {H}indi Songs based on Lyrics,2015,"mood classification, hindi songs, lyrics",15
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",2015,"skipgrams, bigrams, part of speech features, extracting data, twitter messages",5
A Hybrid Approach for Bracketing Noun Sequence,2015,"hybrid approach, brackets, noun sequence",0
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,2015,"feature selection, parameter optimization, multiobjective optimization, sentiment analysis",0
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,2015,"multiword expressions, hindi, word embeddings, wordnet features",8
Augmenting Pivot based {SMT} with word segmentation,2015,"pivot-based smt, word segmentation",3
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},2015,"multilingual topic model, align, english-hindi mt",3
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},2015,"triangulation of reordering tables, avances, phrase table triangulation, pivot-based smt",1
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,2015,"postediting, specialised texts, 7 languages, diachronic proximity, english, productivity",2
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,2015,"variant corpora, indic language, bilingual texts, cross lingual",2
Translation Quality and Effort: Options versus Post-editing,2015,"translation quality, effort, choice, postediting",1
Investigating the potential of post-ordering {SMT} output to improve translation quality,2015,"post-ordering smt output, translation quality",0
Applying {S}anskrit Concepts for Reordering in {MT},2015,"sanskrit concepts, reordering, p/2",2
Dialogue Act Recognition for Text-based {S}inhala,2015,"dialogue act detection, text-based, sinhala",2
A Semi Supervised Dialog Act Tagging for {T}elugu,2015,"semi supervised dialog act tagging, telugu",3
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,2015,"rank models, reduced feature set, automated question generation",3
Natural Language Processing for Solving Simple Word Problems,2015,"natural language processing, simple word problems",7
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,2015,"l2, fluent, occurrence, duration, sentence-medial pauses, english readout speech",0
Acoustic Correlates of Voicing and Gemination in {B}angla,2015,"acoustic correlates, voicing, gemination, bangla",0
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,2015,"18th annual conference, european association for machine translation",0
Exploiting portability to build an {RBMT} prototype for a new source language,2015,"portability, rmt, source language",4
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,2015,"hybrid machine translation system, ebmt preprocessor, partial translations",0
Using on-line available sources of bilingual information for word-level machine translation quality estimation,2015,"multiple on-line sources, bilingual information, word-level machine translation, quality estimates",8
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,2015,"legal framework, minimizing translation effort, principled combination, translation technologies, computer-aided translation",6
Can Translation Memories afford not to use paraphrasing?,2015,"translation memories, paraphrasing",16
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},2015,"dependency-based hybrid model, constituent pairs, hierarchical smt",6
The role of artificially generated negative data for quality estimation of machine translation,2015,"negative focus, quality estimates, machine translate",6
Document-Level Machine Translation with Word Vector Models,2015,"document-level adaptation, word vector sets",12
The potential and limits of lay post-editing in an online community,2015,"lay post-editing, web community",3
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,2015,"post-editing research, trade-offs, novice, professional participants",34
Benchmarking {SMT} Performance for {F}arsi Using the {TEP}++ Corpus,2015,"smt quality, farsi, tep++ corpus, benchmarking",7
Dynamic Terminology Integration Methods in Statistical Machine Translation,2015,"dynamic terminology, integration methods, lightweight models",14
Identifying main obstacles for statistical machine translation of morphologically rich {S}outh {S}lavic languages,2015,"lightweight models, south slavic languages",12
Poor man{'}s lemmatisation for automatic error classification,2015,"lemmatisering, automatic error classification",2
Truly Exploring Multiple References for Machine Translation Evaluation,2015,"museums, machine translation evaluation",12
Searching for Context: a Study on Document-Level Labels for Translation Quality Estimation,2015,"context, document-level labels, translation quality",22
Stripping Adjectives: Integration Techniques for Selective Stemming in {SMT} Systems,2015,"adjectives, integration methods, selective stemming, smt system",2
Evaluating machine translation for assimilation via a gap-filling task,2015,"machine translate, assimilation, gap-filling task",10
Unsupervised training of maximum-entropy models for lexical selection in rule-based machine translation,2015,"parser self-training, linear, lexical selection, word aligner",3
Assessing linguistically aware fuzzy matching in translation memories,2015,"inforex, translation memories",15
Re-assessing the {WMT}2013 Human Evaluation with Professional Translators Trainees,2015,"wmt2013 human evaluation, trainee translators",7
"Integrating a Large, Monolingual Corpus as Translation Memory into Statistical Machine Translation",2015,"small, corpus monolingues, volume 31, lightweight models",5
Target-Side Generation of Prepositions for {SMT},2015,"target-side generation, preposition, smt (statistical machine translation)",3
Word Alignment Based Parallel Corpora Evaluation and Cleaning Using Machine Learning Techniques,2015,"text alignment, parallel corpora, evaluate, cleaning, multimodal behaviors",11
Content Translation: Computer assisted translation tool for {W}ikipedia articles,2015,"content translation, verbal cues, wikipedia titles",5
Pre-reordering for Statistical Machine Translation of Non-fictional Subtitles,2015,"pre-reordering, lightweight models, non-fictional subtitles",0
{SMT} at the International Maritime Organization: experiences with combining in-house corpora with out-of-domain corpora,2015,"smt (statistical machine translation), international maritime organization, in-house corpus, out-of-domain corpus",2
Evaluation of the domain adaptation of {MT} systems in {ACCURAT},2015,"domain adaptation, mt system, accurat",0
{M}ixed{E}motions: Social Semantic Emotion Analysis for Innovative Multilingual Big Data Analytics Markets,2015,"mixedemotions, short-answer scoring, innovative multilingual big data analytics markets",0
"The {ACCEPT} Academic Portal: Bringing Together Pre-editing, {MT} and Post-editing into a Learning Environment",2015,"accept academic portal, pre-editing, mt, postediting, academic environment",0
{R}ussian-{C}hinese Sentence-level Aligned News Corpus,2015,"russian, chinese, temporally annotated corpora",4
{H}im{L} (Health in my Language),2015,himl (health in my language),4
{MT}-enhanced fuzzy matching with Transit {NXT} and {STAR} {M}oses,2015,"mt-enhanced fuzzy matching, transit nxt, moses",2
{H}andy{CAT} - An Open-Source Platform for {CAT} Tool Research,2015,"handycat, open-source platform, cat tool research",0
{T}ra{MOOC}: Translation for Massive Open Online Courses,2015,"tramooc, translate, massive open online course",1
Streamlining Translation Workflows with {S}tyle{S}corer,2015,"translation workflow, stylescorer",0
{E}stonian-{E}nglish Reversible Smart Phone Dictionary of Military Terms and Relevant Vocabulary,2015,"spoken estonian, reversible smart phone dictionary, military terms, relevant vocabulary",0
{FALCON}: Federated Active Linguistic data {C}urati{ON},2015,"falcon, federated active linguistic data curation",0
Tapad{\'o}ir,2015,"the scientific entity in the title ""tapad'oir"" is ""tapad'oir"".",0
{O}kapi+{Q}u{E}st: Translation Quality Estimation within Okapi,2015,"okapi, quest, translation quality",1
{CRACKER}: Cracking the Language Barrier,2015,"language borders, cracking",3
{LTC} {K}now{H}ow: Empowering the Social Enterprise in the Language Industry,2015,"ltc knowhow, social enterprise, language theory",0
Multi-Dialect Machine Translation ({M}u{DM}at),2015,multi-target machine translation,1
{A}bu-{M}a{T}ran: Automatic building of Machine Translation,2015,"abu-matran, automated building, machine translate",1
{MNH}-{TT}: A Platform to Support Collaborative Translator Training,2015,"mnh-tt, collaborative translation, platform",1
Smart Computer Aided Translation Environment - {SCATE},2015,"aided translation environment, scate",0
,2015,"""nan"" is not a scientific entity.",0
Extended Tree Transducers in Natural Language Processing,2015,"weighted tree transducers, natural language processing",0
Preserving Trees in Minimal Automata,2015,"tree, minimal automata",0
,2015,"""nan"" is not a scientific entity. it could potentially refer to ""nanotechnology"" or ""nanometers"", but without additional context, it's not possible to determine the exact scientific entity.",6
Count-based State Merging for Probabilistic Regular Tree Grammars,2015,"count-based state merging, graph attention networks",0
A Direct Link between Tree-Adjoining and Context-Free Tree Grammars,2015,"tree-adjoining, context-free grammars",6
Automated Lossless Hyper-Minimization for Morphological Analyzers,2015,"automated lossless hyper-minimization, morphological analysers",0
Grammar Design with Multi-tape Automata and Composition,2015,"grammar design, multi-tape automata, composition",4
Temporal Forces and Type Coercion in Strings,2015,"temporal forces, sort coercion, string",0
Accounting for Allomorphy in Finite-state Transducers,2015,"allomorphy, finite state transducers",0
A Probabilistic Model of {A}ncient {E}gyptian Writing,2015,"probability model, ancient egyptian writing",5
A Hybrid Approach to Grapheme-Phoneme Conversion,2015,"hybrid approach, grapheme conversion",1
Three Equivalent Codes for Autosegmental Representations,2015,"code, autosegmental",4
Proceedings of the 14th International Conference on Parsing Technologies,2015,14th international conference on parsing technologies,0
Domain Adaptation for Dependency Parsing via Self-Training,2015,"domain adaptation, dependency parses, self training",17
Combining Active Learning and Partial Annotation for Domain Adaptation of a {J}apanese Dependency Parser,2015,"active learner, partial annotation, domain adaptation, japanese dependency parser",6
Incorporating Complementary Annotation to a {CCG}bank for Improving Derivations for {J}apanese,2015,"complementary annotation, ccgbank, derivation, japanese",0
Dependency Parsing with Graph Rewriting,2015,"dependency parses, graph rewriting",9
Semantic Parsing for Textual Entailment,2015,"semantic parses, textual entailment",10
A Framework for Procedural Text Understanding,2015,"framework, procedural text comprehension",27
Suitability of {P}ar{T}es Test Suite for Parsing Evaluation,2015,"partes test suite, parsing evaluation",2
Coordination-Aware Dependency Parsing (Preliminary Report),2015,domain-aware dependency parsing,6
{MSTP}arser Model Interpolation for Multi-Source Delexicalized Transfer,2015,"mst parser, interpolated, delexicalized transfer",7
Non-Deterministic Oracles for Unrestricted Non-Projective Transition-Based Dependency Parsing,2015,"non-deterministic oracles, non-projective transition-based dependency parsers",24
Enhancing the Inside-Outside Recursive Neural Network Reranker for Dependency Parsing,2015,"inside-outside recursive neural network reranker, dependency parses",2
Maximising Spanning Subtree Scores for Parsing Tree Approximations of Semantic Dependency Digraphs,2015,"spanning subtree scores, parsing tree approximations, semantic dependency graphs",1
{CKY} Parsing with Independence Constraints,2015,"cky parsing, independence constraints",0
Dependency Parsing with Compression Rules,2015,"dependency parses, compression rules",19
Stacking or Supertagging for Dependency Parsing {--} What{'}s the Difference?,2015,"stacking, supertag, dependency parses",6
Proceedings of the Third International Conference on Dependency Linguistics (Depling 2015),2015,"third international conference on dependency linguistics, depling 2015",0
Invited Talk: The Case for {U}niversal {D}ependencies,2015,"invited talk, global dependencies",0
Invited Talk: Lexicon Embedded Syntax,2015,"lexicon, embedded syntax",0
Converting an {E}nglish-{S}wedish Parallel Treebank to {U}niversal {D}ependencies,2015,"swedish treebank, global dependencies",12
Targeted Paraphrasing on Deep Syntactic Layer for {MT} Evaluation,2015,"targeted paraphrasing, deep syntactic, mt evaluation",0
Universal and Language-specific Dependency Relations for Analysing {R}omanian,2015,"global dependencies, reliability, romanian",2
Emotion and Inner State Adverbials in {R}ussian,2015,"emotion, inner state adverbials, russian",0
