Title,Year,Important Words,Citations,Log_Citations,Quartile,Novelty Score
A Multifactorial Analysis of {E}nglish Particle Movement in {K}orean {EFL} Learners{'} Writings,2015,"multifactorial analysis, english particles, korean efl learners",1.0,0.6931471805599453,Q1,0.5
An Efficient Annotation for Phrasal Verbs using Dependency Information,2015,"annotate, phrasal verbs, dependency data",3.0,1.3862943611198906,Q2,0.8721425359853041
Color Aesthetics and Social Networks in Complete Tang Poems: Explorations and Discoveries,2015,"color aesthetics, social network, complete tang poems, exploring, discovery",8.0,2.19722457733622,Q3,0.5353847499311185
{K}orean {T}witter Emotion Classification Using Automatically Built Emotion Lexicons and Fine-Grained Features,2015,"korean twitter, emotion categories, lexicon-based sentiment analysis, fine-grained features",13.0,2.6390573296152584,Q3,0.4223263158076576
{C}hinese Word Segmentation based on analogy and majority voting,2015,"chronus system, analogy, majority vote",2.0,1.0986122886681098,Q1,0.6006134842536422
Enhancing Root Extractors Using Light Stemmers,2015,"rote extractor, light stemmers",9.0,2.302585092994046,Q3,0.0
Where Morphological Complexity Matters,2015,morphological complexity,0.0,0.0,Q1,0.5
Distinguishing between True and False Stories using various Linguistic Features,2015,"true stories, fake claims, experimenting",0.0,0.0,Q1,0.0
Bilingually motivated segmentation and generation of word translations using relatively small translation data sets,2015,"bilingually motivated domain, cuni x-ling, small data sets",3.0,1.3862943611198906,Q2,
Selecting Contextual Peripheral Information for Answer Presentation: The Need for Pragmatic Models,2015,"context parameters, answer presentation, pragmatic models",1.0,0.6931471805599453,Q1,0.5
{R}eal{T}ext-asg: A Model to Present Answers Utilizing the Linguistic Structure of Source Question,2015,"realtext-asg, model, answer, linguistic structure, source context",3.0,1.3862943611198906,Q2,0.9938583658862985
Learning under Covariate Shift for Domain Adaptation for Word Sense Disambiguation,2015,"covariate shift, domain adaptation, word sense disambiguation",4.0,1.6094379124341005,Q2,0.8099919479709292
Unsupervised Domain Adaptation for Word Sense Disambiguation using Stacked Denoising Autoencoder,2015,"knowledge objects, word sense disambiguation, stacked denoising autoencoder",5.0,1.791759469228055,Q2,0.6512924336883379
Construction of Semantic Collocation Bank Based on Semantic Dependency Parsing,2015,"semantic collocation, phrase dependency parsing",1.0,0.6931471805599453,Q1,0.4984764175287273
Dynamic Semantics for Intensification and Epistemic Necessity: The Case of Y{\'\i}d{\`\i}ng and Sh{\`\i}b{\`\i} in {M}andarin {C}hinese,2015,"dynamic semantics, intensification, epistemicity, y'\id\`\ing, sh\`\ib\`\i, chinese mandarin",1.0,0.6931471805599453,Q1,0.47929621378198095
A Corpus-based Comparatively Study on the Semantic Features and Syntactic patterns of Y{\`o}u/H{\'a}i in {M}andarin {C}hinese,2015,"corpus, semantic feature, syntactic patterns, y\`ou/h\'ai, chinese mandarin",0.0,0.0,Q1,0.9638692123332969
An Empirical Study on Sentiment Classification of {C}hinese Review using Word Embedding,2015,"emprical study, extracting data, chinese review, word embedding",26.0,3.295836866004329,Q4,0.9911725205868903
Polarity Classification of Short Product Reviews via Multiple Cluster-based {SVM} Classifiers,2015,"coreference data, short product reviews, multiple cluster-based svm classifiers",9.0,2.302585092994046,Q3,0.4965075628831585
Automatic Classification of Spoken Languages using Diverse Acoustic Features,2015,"automatic categorization, spoken language, acoustic features",2.0,1.0986122886681098,Q1,0.7814777433616821
The Syntactic and Semantic Analysis of H{\v{e}}n {X} Constructions in Spoken Corpora,2015,"syntactic analysis, semantic analysis, h\ven x constructions, business",0.0,0.0,Q1,0.4482647944467907
Methods and Tool for Constructing Phonetically-Balanced Materials for Speech Perception Testing: A Development of {T}hai Sentence-Length Materials,2015,"method, tool, constructing, phonetically-balanced materials, speech perceiver, develop, thai sentence",2.0,1.0986122886681098,Q1,0.7947384830587493
Graph Theoretic Features of the Adult Mental lexicon Predict Language Production in {M}andarin: Clustering Coefficient,2015,"graph theoretic features, adult mental lexicon, language product, mandarin, clustering coefficient",0.0,0.0,Q1,0.6909554186120661
Feature Reduction Using Ensemble Approach,2015,"feature reduction, ensemble strategy",0.0,0.0,Q1,0.544079443349226
"Measuring Popularity of Machine-Generated Sentences Using Term Count, Document Frequency, and Dependency Language Model",2015,"popularity, machine-generated sentences, term count, document frequency, dependency language model",2.0,1.0986122886681098,Q1,0.4848292343368881
Acquiring distributed representations for verb-object pairs by using word2vec,2015,"distributed representation, verb-object pairs, word2vec",1.0,0.6931471805599453,Q1,0.7400062564199861
Dependency parsing for {C}hinese long sentence: A second-stage main structure parsing method,2015,"dependency parses, chinese long sentence, two-stage parser",0.0,0.0,Q1,0.49947108809029545
A Light Rule-based Approach to {E}nglish Subject-Verb Agreement Errors on the Third Person Singular Forms,2015,"text-picture relations, coreference density, third person singular forms",3.0,1.3862943611198906,Q2,0.0
A Machine Learning Method to Distinguish Machine Translation from Human Translation,2015,"machine-learning, machine translate, human translation",8.0,2.19722457733622,Q3,0.49148785492384467
"Proceedings of the 29th Pacific Asia Conference on Language, Information and Computation",2015,"29th pacific asia conference, english, information, computation",0.0,0.0,Q1,0.9941630156898736
Two-level Word Class Categorization Model in Analytic Languages and Its Implications for {POS} Tagging in {M}odern {C}hinese Corpora,2015,"two-level classifier, analytic languages, implication, pos tagging, chinese corpora",0.0,0.0,Q1,0.43648633956711663
A Review of Corpus-based Statistical Models of Language Variation,2015,"corpus-based statistical models, language variation, review",1.0,0.6931471805599453,Q1,0.94288144074303
Translation of Unseen Bigrams by Analogy Using an {SVM} Classifier,2015,"unseen bigrams, analogy, svm classifier",0.0,0.0,Q1,0.5393920041072476
Machine Translation Experiments on {PADIC}: A Parallel {A}rabic {DI}alect Corpus,2015,"machine translate, padic, black & white",62.0,4.143134726391533,Q4,0.42166794936231367
Surrounding Word Sense Model for {J}apanese All-words Word Sense Disambiguation,2015,"surrounding word sense model, external features",5.0,1.791759469228055,Q2,0.0
Computing Semantic Text Similarity Using Rich Features,2015,"computing, semantic text similarity, rich features",8.0,2.19722457733622,Q3,0.45177133235311895
{M}echanical {T}urk-based Experiment vs Laboratory-based Experiment: A Case Study on the Comparison of Semantic Transparency Rating Data,2015,"mechanical turk-based experiment, laboratory-based experiment, semantic transparency, casestudy, comparison",13.0,2.6390573296152584,Q3,0.5953471674825066
Discourse Relation Recognition by Comparing Various Units of Sentence Expression with Recursive Neural Network,2015,"discourse predictions, speeches, recursive neural network",1.0,0.6931471805599453,Q1,0.5451024920429898
Bidirectional Long Short-Term Memory Networks for Relation Classification,2015,"bidirectional long short-term memory models, relation classification",157.0,5.062595033026967,Q4,0.9381083302650679
Distant Supervision for Entity Linking,2015,"distant supervision, entity linkage",10.0,2.3978952727983707,Q3,0.8428923614358939
Toward Algorithmic Discovery of Biographical Information in Local Gazetteers of {A}ncient {C}hina,2015,"syntax based smt, biographical data, soft gazetteers, ancient china",4.0,1.6094379124341005,Q2,0.5
Fast and Large-scale Unsupervised Relation Extraction,2015,"fast, large-scale, unsupervised relation extraction",7.0,2.079441541679836,Q2,0.8515359349319492
Reducing Lexical Features in Parsing by Word Embeddings,2015,"lexical features, parses, word embeddings",3.0,1.3862943611198906,Q2,0.971067583449488
High-order Graph-based Neural Dependency Parsing,2015,"high-order, graph-based neural dependency parser",4.0,1.6094379124341005,Q2,0.4706281448260148
A Dynamic Syntax Modelling of Postposing in {J}apanese Narratives,2015,"dynamic codes, postposing, japanese narratives",1.0,0.6931471805599453,Q1,0.0
Unsupervised and Lightly Supervised Part-of-Speech Tagging Using Recurrent Neural Networks,2015,"unsupervised, lightly superviced, part-of-speech tagging, recurrent networks",15.0,2.772588722239781,Q3,0.9506305093654993
Identifying Prepositional Phrases in {C}hinese Patent Texts with Rule-based and {CRF} Methods,2015,"iwslt-2009 mt system, chinese patent texts, rule-based method, crf methods",0.0,0.0,Q1,0.5081634731684868
{J}apanese Sentiment Classification with Stacked Denoising Auto-Encoder using Distributed Word Representation,2015,"japanese sentiment classification, stacked denoising autoencoder, distributed word models",8.0,2.19722457733622,Q3,0.5
Is {W}ikipedia Really Neutral? A Sentiment Perspective Study of War-related {W}ikipedia Articles since 1945,2015,"wikipedia, sentiment analysis, war-related wikipedia articles, 1945",4.0,1.6094379124341005,Q2,0.534892448190562
A Comprehensive Filter Feature Selection for Improving Document Classification,2015,"comprehensive filter feature selection, code classification",6.0,1.9459101490553128,Q2,0.0
Sentiment Analyzer with Rich Features for Ironic and Sarcastic Tweets,2015,"classification, rich features, ironic tweets, sarcastic memes",6.0,1.9459101490553128,Q2,0.9840888962861853
{T}hai Stock News Sentiment Classification using Wordpair Features,2015,"thai stock news, extracting data, wordpair features",1.0,0.6931471805599453,Q1,0.0
Sentiment Classification of {A}rabic Documents: Experiments with multi-type features and ensemble algorithms,2015,"extracting data, arabic documents, multifeature, algorithms",24.0,3.218875824868201,Q4,0.44603142589055234
The Invertible Construction in {C}hinese,2015,"invertible construction, chinese",0.0,0.0,Q1,0.05360946955273505
Pan{'}s (2001) puzzle revisited,2015,pan's (2001) puzzle,1.0,0.6931471805599453,Q1,0.0
{E}nglish Right Dislocation,2015,english right dislocation,1.0,0.6931471805599453,Q1,0.0
A Comparative Study on {M}andarin and {C}antonese Resultative Verb Compounds,2015,"comparative, mandarin, cantonese, resultative verb compounds",0.0,0.0,Q1,0.6760590180209385
Complex-{NP} Islands in {K}orean: An Experimental Approach,2015,"complex-np islands, korean, experimental approach",4.0,1.6094379124341005,Q2,0.7011301795306969
Two Types of Multiple Subject Constructions ({MSC}s) in {K}orean,2015,"multiple subject constructions (mscs), korean",1.0,0.6931471805599453,Q1,0.699007714562336
A Large-scale Study of Statistical Machine Translation Methods for {K}hmer Language,2015,"large-scale study, machine-translation approach, khmer-english",7.0,2.079441541679836,Q2,0.5
{E}nglish to {C}hinese Translation: How {C}hinese Character Matters,2015,"english, chinese to english, chinese character",3.0,1.3862943611198906,Q2,0.9798944945740089
Well-Formed Dependency to String translation with {BTG} Grammar,2015,"well-formed dependency, string translation, btg grammar",0.0,0.0,Q1,0.4198904052760311
Large-scale Dictionary Construction via Pivot-based Statistical Machine Translation with Significance Pruning and Neural Network Features,2015,"large-scale dictionary, phrase pivot, significance pruning, neural image",5.0,1.791759469228055,Q2,0.5
Annotation and Classification of {F}rench Feedback Communicative Functions,2015,"annotate, classification, french feedback, communicative functions",7.0,2.079441541679836,Q2,0.9864147938374014
Automatic conversion of sentence-end expressions for utterance characterization of dialogue systems,2015,"automatic converter, sentence-end expressions, utterance classification, punjabi alphabet",12.0,2.5649493574615367,Q3,
Auditory Synaesthesia and Near Synonyms: A Corpus-Based Analysis of sheng1 and yin1 in {M}andarin {C}hinese,2015,"synesthesia, near-synonym, corpus mining, sheng1, yin1, chinese mandarin",4.0,1.6094379124341005,Q2,
System Utterance Generation by Label Propagation over Association Graph of Words and Utterance Patterns for Open-Domain Dialogue Systems,2015,"german email corpus, label propagation, relation graph, words, utterance patterns, football world cup",9.0,2.302585092994046,Q3,0.7778104217742002
The Cross-modal Representation of Metaphors,2015,"cross-modal representation, metaphors",0.0,0.0,Q1,0.5092415757466398
Writing to Read: the Case of {C}hinese,2015,"writing, read, chinese",6.0,1.9459101490553128,Q2,0.31136233261673124
Design of a Learner Corpus for Listening and Speaking Performance,2015,"learner corpus, linguistic behavior, linguistic behavior",0.0,0.0,Q1,0.5530284044189506
Understanding Infants{'} Language Development in Relation to Levels of Consciousness: An Approach in Building up an Agent-based Model,2015,"infants' language development, levels of consciousness, agent-based model",0.0,0.0,Q1,0.5
Pivot-Based Topic Models for Low-Resource Lexicon Extraction,2015,"pivot-based modeling, tregex",1.0,0.6931471805599453,Q1,
A Corpus-Based Study of zunshou and Its {E}nglish Equivalents,2015,"corpus-based bias, zunshou, english phrases",0.0,0.0,Q1,0.0
Self Syntactico-Semantic Enrichment of {LMF} Normalized Dictionaries,2015,"lexico-semantic annotation, lmf-normalized dictionaries",0.0,0.0,Q1,
When Embodiment Meets {G}enerative {L}exicon: The Human Body Part Metaphors in Sinica Corpus,2015,"embodiment, generative lexicon, human body part metaphors, sinica corpus",4.0,1.6094379124341005,Q2,0.49689442228848063
Degree Variables by Choose Degree in Izyooni {`}than{'}-Clauses,2015,"degree variables, izyooni `than'-clauses",0.0,0.0,Q1,0.0
Not Voice but Case Identity in {VP} Ellipsis of {E}nglish,2015,"voice, case identity, vp ellipsis, english",0.0,0.0,Q1,0.9523628953403291
A Statistical Modeling of the Correlation between Island Effects and Working-memory Capacity for {L}2 Learners,2015,"statistical modeling, correlates, wh-islands, working-memory capacity, l3 learning",0.0,0.0,Q1,0.49863847703011127
De-verbalization and Nominal Categories in {M}andarin {C}hinese: A corpus-driven study in both Mainland {M}andarin and {T}aiwan {M}andarin,2015,"verbalism, nominal categories, chinese mandarin, corpus-based bias, baseline results, taiwan mandarin",0.0,0.0,Q1,0.5347782145513541
Zero Object Resolution in {K}orean,2015,"zero object, resolution, korean",4.0,1.6094379124341005,Q2,0.772977555082624
An Improved Hierarchical Word Sequence Language Model Using Directional Information,2015,"pit corpus, directional information",3.0,1.3862943611198906,Q2,0.0
Neural Network Language Model for {C}hinese {P}inyin Input Method Engine,2015,"neural system, language model, pinyin, input method",16.0,2.833213344056216,Q3,0.9371652164645935
Real-time Detection and Sorting of News on Microblogging Platforms,2015,"real-time detection, sort, news, signbank",3.0,1.3862943611198906,Q2,0.9693967301947605
Trouble information extraction based on a bootstrap approach from {T}witter,2015,"trouble information extraction, bootstrap approach, twitter",1.0,0.6931471805599453,Q1,0.9935888716826335
Using {T}witter Data to Infer Personal Values of {J}apanese Consumers,2015,"twitter data, personal values, japanese consumers",0.0,0.0,Q1,0.6231741169664393
Distant-supervised Language Model for Detecting Emotional Upsurge on {T}witter,2015,"unsupervised language model, path of motion, twitter",0.0,0.0,Q1,0.9993002418952808
Hybrid Method of Semi-supervised Learning and Feature Weighted Learning for Domain Adaptation of Document Classification,2015,"hybrid method, supervised data, feature-weight learning, domain adaptation, code classification",4.0,1.6094379124341005,Q2,0.9506771052524737
Paraphrase Detection Based on Identical Phrase and Similar Word Matching,2015,"paraphrase detection, identical phrase, similar words",6.0,1.9459101490553128,Q2,0.5107388816574355
Multi-aspects Rating Prediction Using Aspect Words and Sentences,2015,"west african languages, aspect words, sentences",0.0,0.0,Q1,0.9365483013058727
Understanding Rating Behaviour and Predicting Ratings by Identifying Representative Users,2015,"rating behaviour, predicting ratings, user relations",3.0,1.3862943611198906,Q2,0.0
Cross-lingual Pseudo Relevance Feedback Based on Weak Relevant Topic Alignment,2015,"cross-lingual pseudo relevance, feedback, weak relevant topic alignment",0.0,0.0,Q1,0.7263766573660887
Corpus annotation with a linguistic analysis of the associations between event mentions and spatial expressions,2015,"corpus annotation, linguistic analyses, associations, relu, spatial expressions",0.0,0.0,Q1,0.497327293497548
Recognizing Complex Negation on {T}witter,2015,"logical negation, twitter",3.0,1.3862943611198906,Q2,0.9993002418952808
Topic Model for Identifying Suicidal Ideation in {C}hinese Microblog,2015,"topic model, suicidality, weibo messages",28.0,3.367295829986474,Q4,0.6860714045764476
Predicting Sector Index Movement with Microblogging Public Mood Time Series on Social Issues,2015,"acknowledgment use, microblog, public mood time series, challenges",2.0,1.0986122886681098,Q1,0.2943974998862563
Proceedings of the 12th International Conference on Natural Language Processing,2015,"12th international conference, natural language processing",0.0,0.0,Q1,0.9997133289287699
Keynote Lecture 1: Scientific Paper Analysis,2015,"information gain ratio, keynote",0.0,0.0,Q1,0.4573460379296094
Addressing Class Imbalance in Grammatical Error Detection with Evaluation Metric Optimization,2015,"class imbalance, grammar error detection, evaluation metric optimization",0.0,0.0,Q1,0.4941785787304086
Words are not Equal: Graded Weighting Model for Building Composite Document Vectors,2015,"words, weighting model, composite document vectors",9.0,2.302585092994046,Q3,0.7856570210973285
Online Adspace Posts{'} Category Classification,2015,"online adspace, posts' category, classification",0.0,0.0,Q1,0.9999999999999978
Noun Phrase Chunking for {M}arathi using Distant Supervision,2015,"noun-phrase chunking, marathi, distant supervision",1.0,0.6931471805599453,Q1,0.8209056501576643
Self-Organizing Maps for Classification of a Multi-Labeled Corpus,2015,"self-organizing map, classification, labelled corpus",0.0,0.0,Q1,0.9920603007891882
Word Sense Disambiguation in {H}indi Language Using Hyperspace Analogue to Language and Fuzzy {C}-Means Clustering,2015,"word sense disambiguation, hindi, hyperspace analogue to language, fuzzy sets",7.0,2.079441541679836,Q2,0.660353235012974
Using Word Embeddings for Bilingual Unsupervised {WSD},2015,"word embeddings, bilingual, multi-relational",2.0,1.0986122886681098,Q1,0.6341718032500187
Compositionality in {B}angla Compound Verbs and their Processing in the Mental Lexicon,2015,"compositionality, bangla compound verbs, process, live lexicons",0.0,0.0,Q1,0.951202947960275
{I}ndo{W}ord{N}et Dictionary: An Online Multilingual Dictionary using {I}ndo{W}ord{N}et,2015,"indowordnet, stock markets, indowordnet",1.0,0.6931471805599453,Q1,0.5131935377228655
Let Sense Bags Do Talking: Cross Lingual Word Semantic Similarity for {E}nglish and {H}indi,2015,"sense bags, distress, english, hindi",0.0,0.0,Q1,0.9466001342352551
A temporal expression recognition system for medical documents by,2015,"inference rule verification, medical documents",2.0,1.0986122886681098,Q1,0.4945728163892242
An unsupervised {EM} method to infer time variation in sense probabilities,2015,"unsupervised method, time variation, sense probabilities",1.0,0.6931471805599453,Q1,0.4944113228074489
Solving Data Sparsity by Morphology Injection in Factored {SMT},2015,"legal rules, morphology injection, factored smt",5.0,1.791759469228055,Q2,0.5
Authorship Attribution in {B}engali Language,2015,"authorship, bangla language",16.0,2.833213344056216,Q3,0.5957412364401524
{T}rans{C}hat: Cross-Lingual Instant Messaging for {I}ndian Languages,2015,"transchat, semantic concordance, indian english",1.0,0.6931471805599453,Q1,
A Database of Infant Cry Sounds to Study the Likely Cause of Cry,2015,"dataset, infant cry sounds, likely cause of cry",14.0,2.70805020110221,Q3,0.9999999999804527
Perplexed {B}ayes Classifier,2015,naive bayes-svm,0.0,0.0,Q1,0.0
An Empirical Study of Diversity of Word Alignment and its Symmetrization Techniques for System Combination,2015,"emprical study, diversity, text alignment, symmetrization techniques, combined systems",0.0,0.0,Q1,0.7614879740072853
Domain Sentiment Matters: A Two Stage Sentiment Analyzer,2015,"news sentiment, two stage sentiment analysis",6.0,1.9459101490553128,Q2,0.0
Extracting Information from {I}ndian First Names,2015,"information, indian first names",0.0,0.0,Q1,0.9999947128799253
punct-An Alternative Verb Semantic Ontology Representation,2015,"punct, alternative verb, semantic ontology",0.0,0.0,Q1,0.5385740558648074
{SMT} Errors Requiring Grammatical Knowledge for Prevention,2015,"smt errors, grammatical knowledge, prevention",1.0,0.6931471805599453,Q1,0.48580880042871416
Isolated Word Recognition System for {M}alayalam using Machine Learning,2015,"text recognition, malayalam, machine-learning",1.0,0.6931471805599453,Q1,0.4641347997576039
Judge a Book by its Cover: Conservative Focused Crawling under Resource Constraints,2015,"conservative focused crawling, resource demand",0.0,0.0,Q1,0.0
Text Normalization and Unit Selection for a Memory Based Non Uniform Unit Selection {TTS} in {M}alayalam,2015,"text smoothing, unit selection, memory based non uniform unit selection tts, malayalam",0.0,0.0,Q1,0.4977406515609905
Morphological Analyzer for {G}ujarati using Paradigm based approach with Knowledge based and Statistical Methods,2015,"turkish morphology, gujarati, paradigmatic approach, knowledge-based method, statistical methods",0.0,0.0,Q1,0.5199197793043733
Resolution of Pronominal Anaphora for {T}elugu Dialogues,2015,"rocling xvi, telugu dialogues",2.0,1.0986122886681098,Q1,0.0
A Study on Divergence in {M}alayalam and {T}amil Language in Machine Translation Perceptive,2015,"divergent, malayalam, tamil language, machine translate",0.0,0.0,Q1,0.4431551914688281
Automatic conversion of {I}ndian Language Morphological Processors into Grammatical Framework ({GF}),2015,"hindi morphological analyzer, open domain conversation",0.0,0.0,Q1,0.0
Logistic Regression for Automatic Lexical Level Morphological Paradigm Selection for {K}onkani Nouns,2015,"logistic regression, automatic lexical level, morphological paradigm, konkani",0.0,0.0,Q1,0.511209271713191
{R}uchi: Rating Individual Food Items in Restaurant Reviews,2015,"ruchi, food items, restaurant reviews",7.0,2.079441541679836,Q2,0.5
Dependency Extraction for Knowledge-based Domain Classification,2015,"dependency extraction, knowledge-based domain classification",0.0,0.0,Q1,0.5134435518637578
An Approach to Collective Entity Linking,2015,"approach, global entity linking",0.0,0.0,Q1,0.9978147920003827
Development of Speech corpora for different Speech Recognition tasks in {M}alayalam language,2015,"speech corpora, speech recognition tasks, malayalam",2.0,1.0986122886681098,Q1,0.50074631383095
{POS} Tagging of {H}indi-{E}nglish Code Mixed Text from Social Media: Some Machine Learning Experiments,2015,"pos tagging, english-hindi code-mixed text, social media, machine-learning",20.0,3.044522437723423,Q4,0.845531056807759
Automated Analysis of {B}angla Poetry for Classification and Poet Identification,2015,"automated analysis, bangla poetry, classification, poet identification",17.0,2.8903717578961645,Q3,0.9959349593495913
Sentence Boundary Detection for Social Media Text,2015,"proscript, social media text",12.0,2.5649493574615367,Q3,0.44433006555414273
Mood Classification of {H}indi Songs based on Lyrics,2015,"mood classification, hindi songs, lyrics",15.0,2.772588722239781,Q3,0.593028650474173
"Using Skipgrams, Bigrams, and Part of Speech Features for Sentiment Classification of {T}witter Messages",2015,"skipgrams, bigrams, part of speech features, extracting data, twitter messages",5.0,1.791759469228055,Q2,0.4761684733165335
A Hybrid Approach for Bracketing Noun Sequence,2015,"hybrid approach, brackets, noun sequence",0.0,0.0,Q1,0.4851000609313661
Simultaneous Feature Selection and Parameter Optimization Using Multi-objective Optimization for Sentiment Analysis,2015,"feature selection, parameter optimization, multiobjective optimization, sentiment analysis",0.0,0.0,Q1,0.6362265175523913
Detection of Multiword Expressions for {H}indi Language using Word Embeddings and {W}ord{N}et-based Features,2015,"multiword expressions, hindi, word embeddings, wordnet features",8.0,2.19722457733622,Q3,0.9069543100263378
Augmenting Pivot based {SMT} with word segmentation,2015,"pivot-based smt, word segmentation",3.0,1.3862943611198906,Q2,0.2685800231515417
Using Multilingual Topic Models for Improved Alignment in {E}nglish-{H}indi {MT},2015,"multilingual topic model, align, english-hindi mt",3.0,1.3862943611198906,Q2,0.39420197681430247
Triangulation of Reordering Tables: An Advancement Over Phrase Table Triangulation in Pivot-Based {SMT},2015,"triangulation of reordering tables, avances, phrase table triangulation, pivot-based smt",1.0,0.6931471805599453,Q1,0.5780322914009404
Post-editing a chapter of a specialized textbook into 7 languages: importance of terminological proximity with {E}nglish for productivity,2015,"postediting, specialised texts, 7 languages, diachronic proximity, english, productivity",2.0,1.0986122886681098,Q1,0.9614090380506695
Generating Translation Corpora in Indic Languages:Cultivating Bilingual Texts for Cross Lingual Fertilization,2015,"variant corpora, indic language, bilingual texts, cross lingual",2.0,1.0986122886681098,Q1,0.4925753852112539
Translation Quality and Effort: Options versus Post-editing,2015,"translation quality, effort, choice, postediting",1.0,0.6931471805599453,Q1,0.6390156002541996
Investigating the potential of post-ordering {SMT} output to improve translation quality,2015,"post-ordering smt output, translation quality",0.0,0.0,Q1,0.6252973577332613
Applying {S}anskrit Concepts for Reordering in {MT},2015,"sanskrit concepts, reordering, p/2",2.0,1.0986122886681098,Q1,0.021187046867083944
Dialogue Act Recognition for Text-based {S}inhala,2015,"dialogue act detection, text-based, sinhala",2.0,1.0986122886681098,Q1,0.6246377216060304
A Semi Supervised Dialog Act Tagging for {T}elugu,2015,"semi supervised dialog act tagging, telugu",3.0,1.3862943611198906,Q2,0.6685165147018645
Ranking Model with a Reduced Feature Set for an Automated Question Generation System,2015,"rank models, reduced feature set, automated question generation",3.0,1.3862943611198906,Q2,0.43782349911420193
Natural Language Processing for Solving Simple Word Problems,2015,"natural language processing, simple word problems",7.0,2.079441541679836,Q2,0.9890811304409237
Analysis of Influence of {L}2 {E}nglish Speakers{'} Fluency on Occurrence and Duration of Sentence-medial Pauses in {E}nglish Readout Speech,2015,"l2, fluent, occurrence, duration, sentence-medial pauses, english readout speech",0.0,0.0,Q1,0.7386484955242896
Acoustic Correlates of Voicing and Gemination in {B}angla,2015,"acoustic correlates, voicing, gemination, bangla",0.0,0.0,Q1,0.5135197892389575
Proceedings of the 18th Annual Conference of the {E}uropean Association for Machine Translation,2015,"18th annual conference, european association for machine translation",0.0,0.0,Q1,0.0
Exploiting portability to build an {RBMT} prototype for a new source language,2015,"portability, rmt, source language",4.0,1.6094379124341005,Q2,0.8196748762853595
Building hybrid machine translation systems by using an {EBMT} preprocessor to create partial translations,2015,"hybrid machine translation system, ebmt preprocessor, partial translations",0.0,0.0,Q1,0.5
Using on-line available sources of bilingual information for word-level machine translation quality estimation,2015,"multiple on-line sources, bilingual information, word-level machine translation, quality estimates",8.0,2.19722457733622,Q3,0.45910617979341634
A general framework for minimizing translation effort: towards a principled combination of translation technologies in computer-aided translation,2015,"legal framework, minimizing translation effort, principled combination, translation technologies, computer-aided translation",6.0,1.9459101490553128,Q2,0.4702460797111245
Can Translation Memories afford not to use paraphrasing?,2015,"translation memories, paraphrasing",16.0,2.833213344056216,Q3,0.46197445347579247
Dependency-based Reordering Model for Constituent Pairs in Hierarchical {SMT},2015,"dependency-based hybrid model, constituent pairs, hierarchical smt",6.0,1.9459101490553128,Q2,0.5
The role of artificially generated negative data for quality estimation of machine translation,2015,"negative focus, quality estimates, machine translate",6.0,1.9459101490553128,Q2,0.3955572658164182
Document-Level Machine Translation with Word Vector Models,2015,"document-level adaptation, word vector sets",12.0,2.5649493574615367,Q3,0.0
The potential and limits of lay post-editing in an online community,2015,"lay post-editing, web community",3.0,1.3862943611198906,Q2,0.0
Post-Editing Evaluations: Trade-offs between Novice and Professional Participants,2015,"post-editing research, trade-offs, novice, professional participants",34.0,3.555348061489413,Q4,0.5247054156035874
