Index,GPT Extracted Words,Human Extracted Words,GPT Missed Ratio,Human Missed Ratio,GPT Only,Human Only,Precision,Recall,F1-Score
19,"{'incremental learning', 'affix segmentation'}",{'incremental learning'},0.5,0.0,{'affix segmentation'},set(),0.5,1.0,0.6666666666666666
20,{'turkish national corpus tnc'},{'turkish national corpus'},1.0,1.0,{'turkish national corpus tnc'},{'turkish national corpus'},0.0,0.0,0.0
21,"{'instance level subcategorization acquisition', 'unsupervised model'}","{'instance level subcategorization acquisition', 'unsupervised model'}",0.0,0.0,set(),set(),1.0,1.0,1.0
22,"{'coherent extracts', 'evaluation', 'bridging the gap', 'abstractive summaries', 'creation', 'extractive summaries', 'heterogeneous sources'}","{'extractive and abstractive summaries', 'creation and evaluation of coherent', 'heterogeneous sources'}",0.8571428571428571,0.6666666666666666,"{'coherent extracts', 'evaluation', 'bridging the gap', 'abstractive summaries', 'creation', 'extractive summaries'}","{'extractive and abstractive summaries', 'creation and evaluation of coherent'}",0.14285714285714285,0.3333333333333333,0.2
23,"{'multiple evaluation results', 'summary evaluation', 'automatic method', 'manual method'}","{'multiple evaluation results', 'summary evaluation', 'automatic method', 'manual method'}",0.0,0.0,set(),set(),1.0,1.0,1.0
24,"{'hierarchical word structurebased parsing', 'udstyle dependency parsing', 'feasibility study', 'japanese'}","{'hierarchical word structurebased parsing', 'udstyle dependency parsing'}",0.5,0.0,"{'japanese', 'feasibility study'}",set(),0.5,1.0,0.6666666666666666
25,"{'invariant alignment', 'equivariant transduction'}","{'invariant alignment', 'equivariant transduction'}",0.0,0.0,set(),set(),1.0,1.0,1.0
26,"{'historical corpora', 'modeling language change', 'portuguese'}","{'the case of portuguese', 'historical corpora'}",0.6666666666666666,0.5,"{'portuguese', 'modeling language change'}",{'the case of portuguese'},0.3333333333333333,0.5,0.4
27,"{'setqanlp 2009', 'natural language processing', 'testing', 'workshop on software engineering', 'quality assurance'}",{'natural language processing'},0.8,0.0,"{'testing', 'setqanlp 2009', 'quality assurance', 'workshop on software engineering'}",set(),0.2,1.0,0.33333333333333337
28,"{'gender bias evaluation', 'lenses'}",{'gender bias evaluation'},0.5,0.0,{'lenses'},set(),0.5,1.0,0.6666666666666666
29,"{'discourse', 'dialogue generation', 'textual representation level component'}","{'dialogue generation', 'a textual representation level component', 'context of discourse'}",0.6666666666666666,0.6666666666666666,"{'discourse', 'textual representation level component'}","{'a textual representation level component', 'context of discourse'}",0.3333333333333333,0.3333333333333333,0.3333333333333333
30,"{'deep relational learning', 'context', 'modeling content'}","{'deep relational learning', 'modeling content'}",0.3333333333333333,0.0,{'context'},set(),0.6666666666666666,1.0,0.8
31,"{'fullsentence vqa', 'unsupervised keyword extraction'}","{'fullsentence vqa', 'unsupervised keyword extraction'}",0.0,0.0,set(),set(),1.0,1.0,1.0
32,"{'bayesian learning', 'tree substitution grammar'}","{'a tree substitution grammar', 'bayesian learning'}",0.5,0.5,{'tree substitution grammar'},{'a tree substitution grammar'},0.5,0.5,0.5
33,"{'director', 'generatorclassifiers', 'supervised language modeling'}","{'generatorclassifiers', 'supervised language modeling'}",0.3333333333333333,0.0,{'director'},set(),0.6666666666666666,1.0,0.8
34,"{'performance', 'automated text scoring systems'}",{'automated text scoring systems'},0.5,0.0,{'performance'},set(),0.5,1.0,0.6666666666666666
35,"{'dialects', 'ground truth', 'similar languages', 'twitter', 'language identification'}","{'ground truth', 'similar languages and dialects', 'language identification'}",0.6,0.3333333333333333,"{'dialects', 'twitter', 'similar languages'}",{'similar languages and dialects'},0.4,0.6666666666666666,0.5
36,"{'adjectival concepts', 'closedistant relation', 'selforganizing map'}","{'adjectival concepts', 'selforganizing map'}",0.3333333333333333,0.0,{'closedistant relation'},set(),0.6666666666666666,1.0,0.8
37,{'tipster phase iii'},{''},1.0,1.0,{'tipster phase iii'},{''},0.0,0.0,0.0
38,"{'occurrence of laughter', 'comparative crossdomain study', 'meeting corpora', 'seminar corpora'}","{'comparative crossdomain study', 'the occurrence of laughter', 'meeting and seminar corpora'}",0.75,0.6666666666666666,"{'occurrence of laughter', 'meeting corpora', 'seminar corpora'}","{'the occurrence of laughter', 'meeting and seminar corpora'}",0.25,0.3333333333333333,0.28571428571428575
39,"{'topic knowledge graph', 'sentimentcontrollable topictoessay generator'}","{'topic knowledge graph', 'sentimentcontrollable topictoessay generator'}",0.0,0.0,set(),set(),1.0,1.0,1.0
40,"{'perceptually grounded', 'selectional preferences'}","{'perceptually grounded', 'selectional preferences'}",0.0,0.0,set(),set(),1.0,1.0,1.0
41,"{'document level features', 'statistical machine translation'}","{'novel document level', 'statistical machine translation'}",0.5,0.5,{'document level features'},{'novel document level'},0.5,0.5,0.5
42,"{'lexical semantics', 'text'}",{'lexical semantics'},0.5,0.0,{'text'},set(),0.5,1.0,0.6666666666666666
43,"{'decisions', 'spoken meetings'}","{'summarizing decisions', 'spoken meetings'}",0.5,0.5,{'decisions'},{'summarizing decisions'},0.5,0.5,0.5
44,"{'annotation', 'atis data'}",{'atis data'},0.5,0.0,{'annotation'},set(),0.5,1.0,0.6666666666666666
45,"{'rombac', 'romanian balanced annotated corpus'}",{'annotated corpus'},1.0,1.0,"{'rombac', 'romanian balanced annotated corpus'}",{'annotated corpus'},0.0,0.0,0.0
46,"{'framenet', 'spatial relations'}",{'representing spatial relations'},1.0,1.0,"{'framenet', 'spatial relations'}",{'representing spatial relations'},0.0,0.0,0.0
47,"{'formal meaning representations', 'surface strings', 'widecoverage text generation'}","{'formal meaning representations', 'surface strings', 'widecoverage text generation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
48,{'automatic topical question generation'},{'topical question generation'},1.0,1.0,{'automatic topical question generation'},{'topical question generation'},0.0,0.0,0.0
49,"{'countering evaluation biases', 'individuation', 'grounding plural phrases'}","{'countering evaluation biases', 'grounding plural phrases'}",0.3333333333333333,0.0,{'individuation'},set(),0.6666666666666666,1.0,0.8
50,"{'unscoped episodic logical forms', 'monotonic inference', 'symbolic system'}","{'monotonic inference', 'unscoped episodic logical forms'}",0.3333333333333333,0.0,{'symbolic system'},set(),0.6666666666666666,1.0,0.8
51,"{'constituent trees', 'spanbased linearization'}","{'constituent trees', 'spanbased linearization'}",0.0,0.0,set(),set(),1.0,1.0,1.0
52,"{'multidocument summarization', 'budgeted maximization', 'submodular functions'}","{'multidocument summarization', 'budgeted maximization', 'submodular functions'}",0.0,0.0,set(),set(),1.0,1.0,1.0
53,"{'grammaticality', 'syntactic annotation', 'learner language'}","{'syntactic annotation', 'learner language'}",0.3333333333333333,0.0,{'grammaticality'},set(),0.6666666666666666,1.0,0.8
54,"{'documentgrounded generation', 'focused attention'}","{'documentgrounded generation', 'focused attention'}",0.0,0.0,set(),set(),1.0,1.0,1.0
55,"{'prosodic profiles', 'corpus of human interaction', 'mandarin repairdisfluency'}","{'human interaction', 'prosodic profiles'}",0.6666666666666666,0.5,"{'corpus of human interaction', 'mandarin repairdisfluency'}",{'human interaction'},0.3333333333333333,0.5,0.4
56,"{'proofnets', 'efficient parsing'}","{'proofnets', 'efficient parsing'}",0.0,0.0,set(),set(),1.0,1.0,1.0
57,"{'aspect terms', 'aspectoriented sentiment labeling'}","{'aspect terms', 'aspectoriented sentiment labeling'}",0.0,0.0,set(),set(),1.0,1.0,1.0
58,"{'word sense disambiguation', 'linked semantic networks', 'constrained random walks'}","{'word sense disambiguation', 'linked semantic networks', 'constrained random walks'}",0.0,0.0,set(),set(),1.0,1.0,1.0
59,"{'photographs', 'referring expression generation', 'objects'}","{'referring expression generation', 'objects in photographs'}",0.6666666666666666,0.5,"{'photographs', 'objects'}",{'objects in photographs'},0.3333333333333333,0.5,0.4
60,"{'modeling', 'human syntax acquisition', 'crosslanguage ambiguity'}","{'human syntax acquisition', 'crosslanguage ambiguity'}",0.3333333333333333,0.0,{'modeling'},set(),0.6666666666666666,1.0,0.8
61,"{'pulearning', 'deceptive opinion spam'}","{'pulearning', 'deceptive opinion spam'}",0.0,0.0,set(),set(),1.0,1.0,1.0
62,"{'unsupervised resource creation', 'textual inference applications'}","{'unsupervised resource creation', 'textual inference applications'}",0.0,0.0,set(),set(),1.0,1.0,1.0
63,"{'discourse parsing', 'integer linear programming'}","{'discourse parsing', 'integer linear programming'}",0.0,0.0,set(),set(),1.0,1.0,1.0
64,{'multidomain machine translation'},{'multidomain machine translation'},0.0,0.0,set(),set(),1.0,1.0,1.0
65,"{'finegrained hidden markov modeling', 'broadcastnews story segmentation'}","{'finegrained hidden markov modeling', 'broadcastnews story segmentation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
66,"{'linguistic search', 'early modern english'}","{'linguistic search', 'parsing early modern english'}",0.5,0.5,{'early modern english'},{'parsing early modern english'},0.5,0.5,0.5
67,"{'longdistance phonology', 'probabilistic tierbased strictly local grammars', 'gradience'}","{'longdistance phonology', 'probabilistic tierbased strictly local grammars', 'capturing gradience'}",0.3333333333333333,0.3333333333333333,{'gradience'},{'capturing gradience'},0.6666666666666666,0.6666666666666666,0.6666666666666666
68,"{'biomedical publications', 'negative findings'}","{'biomedical publications', 'negative findings'}",0.0,0.0,set(),set(),1.0,1.0,1.0
69,"{'syntactic processing', 'particles', 'japanese spoken language'}","{'syntactic processing', 'particles', 'japanese spoken language'}",0.0,0.0,set(),set(),1.0,1.0,1.0
70,"{'aggregate', 'globaltolocal heterogeneous graph inference network', 'conversational emotion recognition'}","{'globaltolocal heterogeneous graph inference network', 'conversational emotion recognition'}",0.3333333333333333,0.0,{'aggregate'},set(),0.6666666666666666,1.0,0.8
71,"{'nlp systems', 'underclaiming'}","{'nlp systems', 'underclaiming'}",0.0,0.0,set(),set(),1.0,1.0,1.0
72,"{'syntactic translation', 'data preparation'}","{'syntactic translation', 'data preparation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
73,"{'morphological analysis', 'malagasy', 'tokenization'}","{'morphological analysis', 'malagasy', 'tokenization'}",0.0,0.0,set(),set(),1.0,1.0,1.0
74,"{'prediction', 'deep learning methods', 'retrieval term'}",{'deep learning methods'},0.6666666666666666,0.0,"{'prediction', 'retrieval term'}",set(),0.3333333333333333,1.0,0.5
75,"{'repeval 2017 shared task', 'lctmalta'}",{'repeval 2017 shared task'},0.5,0.0,{'lctmalta'},set(),0.5,1.0,0.6666666666666666
76,"{'bert', 'offensive language', 'bilstm', 'semeval2020 task 12', 'iiitgadbu'}","{'detecting offensive language', 'bert', 'bilstm', 'semeval2020 task 12', 'iiitgadbu'}",0.2,0.2,{'offensive language'},{'detecting offensive language'},0.8,0.8,0.8000000000000002
77,"{'tagbased english math word problem solver', 'explanation', 'understanding', 'reasoning'}","{'tagbased english math word problem solver', 'explanation', 'understanding', 'reasoning'}",0.0,0.0,set(),set(),1.0,1.0,1.0
78,"{'surveys', 'language phenomena', 'statistical machine translation', 'word reordering', 'computational models'}","{'word reordering', 'statistical machine translation', 'computational models', 'language phenomena'}",0.2,0.0,{'surveys'},set(),0.8,1.0,0.888888888888889
79,{'constructions'},{'constructions'},0.0,0.0,set(),set(),1.0,1.0,1.0
80,"{'purchase stage identification', 'imbalanced twitter data', 'convolutional recurrent neural networks'}","{'purchase stage identification', 'convolutional recurrent neural networks'}",0.3333333333333333,0.0,{'imbalanced twitter data'},set(),0.6666666666666666,1.0,0.8
81,"{'traverse trees', 'attention'}","{'traverse trees', 'attention'}",0.0,0.0,set(),set(),1.0,1.0,1.0
82,"{'semeval2017 task 7', 'syntactic characteristics', 'pun', 'corpusbased metrics', 'uwaterloo'}",{''},1.0,1.0,"{'semeval2017 task 7', 'syntactic characteristics', 'pun', 'corpusbased metrics', 'uwaterloo'}",{''},0.0,0.0,0.0
83,"{'scope', 'annotation', 'conandoyleneg', 'conan doyle stories', 'negation cues'}","{'conan doyle stories', 'negation cues'}",0.6,0.0,"{'scope', 'annotation', 'conandoyleneg'}",set(),0.4,1.0,0.5714285714285715
84,{'conversational recommendation systems'},{'conversational recommendation systems'},0.0,0.0,set(),set(),1.0,1.0,1.0
85,"{'contextual embedding transformation', 'zeroshot crosslingual dependency parsing'}","{'contextual embedding transformation', 'zeroshot crosslingual dependency parsing'}",0.0,0.0,set(),set(),1.0,1.0,1.0
86,"{'taskoriented dialogue', 'turnyielding cues'}","{'taskoriented dialogue', 'turnyielding cues'}",0.0,0.0,set(),set(),1.0,1.0,1.0
87,{'dialport'},{'dialport'},0.0,0.0,set(),set(),1.0,1.0,1.0
88,"{'automated conversational dialogue system', 'evaluation', 'metric', 'improvement'}",{'automated conversational dialogue system'},0.75,0.0,"{'improvement', 'evaluation', 'metric'}",set(),0.25,1.0,0.4
89,{'pilot dialectal arabic treebank'},{'pilot dialectal arabic treebank'},0.0,0.0,set(),set(),1.0,1.0,1.0
90,"{'constraintbased synchronous grammar', 'machine translation'}","{'constraintbased synchronous grammar', 'machine translation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
91,"{'automated cognate detection', 'expectation maximisation algorithm'}","{'automated cognate detection', 'expectation maximisation algorithm'}",0.0,0.0,set(),set(),1.0,1.0,1.0
92,"{'argument mining', 'confluent knowledge'}","{'argument mining', 'confluent knowledge'}",0.0,0.0,set(),set(),1.0,1.0,1.0
93,"{'phrasebased evaluation', 'machine translation'}","{'phrasebased evaluation', 'machine translation'}",0.0,0.0,set(),set(),1.0,1.0,1.0
94,{'sentencelevel rewriting detection'},{'sentencelevel rewriting detection'},0.0,0.0,set(),set(),1.0,1.0,1.0
95,"{'multilingual relation extraction', 'compositional universal schema'}","{'multilingual relation extraction', 'compositional universal schema'}",0.0,0.0,set(),set(),1.0,1.0,1.0
96,"{'correction detection', 'revised esl sentences'}",{'revised esl sentences'},0.5,0.0,{'correction detection'},set(),0.5,1.0,0.6666666666666666
97,"{'falling words', 'rising words'}",{'Finding Rising And Falling Words'},1.0,1.0,"{'falling words', 'rising words'}",{'Finding Rising And Falling Words'},0.0,0.0,0.0
98,"{'finegrained entity type constraints', 'distantly supervised relation extraction'}","{'finegrained entity type constraints', 'distantly supervised relation extraction'}",0.0,0.0,set(),set(),1.0,1.0,1.0
99,"{'supporting sentences', 'graph neural networks', 'propagateselector', 'question answering'}","{'graph neural networks', 'propagateselector', 'detecting supporting sentences'}",0.5,0.3333333333333333,"{'supporting sentences', 'question answering'}",{'detecting supporting sentences'},0.5,0.6666666666666666,0.5714285714285715
100,"{'statistical measures', 'domains', 'natural language parser performance'}","{'statistical measures', 'natural language parser performance'}",0.3333333333333333,0.0,{'domains'},set(),0.6666666666666666,1.0,0.8
101,"{'hybrid approach', 'features representation', 'finegrained arabic named entity recognition'}","{'hybrid approach', 'features representation', 'finegrained arabic named entity recognition'}",0.0,0.0,set(),set(),1.0,1.0,1.0
102,"{'lowresource crosslingual entity linking', 'design challenges'}",{'lowresource crosslingual entity linking'},0.5,0.0,{'design challenges'},set(),0.5,1.0,0.6666666666666666
103,"{'probing', 'quantifying', 'inductive bias'}","{'probing', 'quantifying inductive bias'}",0.6666666666666666,0.5,"{'quantifying', 'inductive bias'}",{'quantifying inductive bias'},0.3333333333333333,0.5,0.4
104,"{'indian language nlp', 'idiom handling'}","{'language nlp', 'idiom handling'}",0.5,0.5,{'indian language nlp'},{'language nlp'},0.5,0.5,0.5
105,"{'machine translation', 'theme and rheme', 'pragmatic concept'}","{'machine translation', 'pragmatic concept'}",0.3333333333333333,0.0,{'theme and rheme'},set(),0.6666666666666666,1.0,0.8
106,"{'comparable corpora', 'bilingual lexicon extraction', 'polysemy'}","{'bilingual lexicon extraction', 'comparable corpora'}",0.3333333333333333,0.0,{'polysemy'},set(),0.6666666666666666,1.0,0.8
107,"{'arcstandard transitions', 'unsupervised dependency parsing'}","{'arcstandard transitions', 'unsupervised dependency parsing'}",0.0,0.0,set(),set(),1.0,1.0,1.0
108,"{'vmwe identification', 'parseme shared task 2018', 'veyn', 'recurrent neural networks'}","{'vmwe identification', 'recurrent neural networks'}",0.5,0.0,"{'parseme shared task 2018', 'veyn'}",set(),0.5,1.0,0.6666666666666666
109,"{'semantic representations', 'concepts', 'word senses'}","{'semantic representations', 'word senses and concepts'}",0.6666666666666666,0.5,"{'concepts', 'word senses'}",{'word senses and concepts'},0.3333333333333333,0.5,0.4
110,"{'metaphor', 'identification', 'verbal multiword expressions'}","{'identification of metaphor', 'verbal multiword expressions'}",0.6666666666666666,0.5,"{'metaphor', 'identification'}",{'identification of metaphor'},0.3333333333333333,0.5,0.4
111,"{'flexibility', 'dynamic hypertext generation'}",{'dynamic hypertext generation'},0.5,0.0,{'flexibility'},set(),0.5,1.0,0.6666666666666666
112,"{'commercial products', 'challenges', 'translating', 'nlp research'}","{'commercial products', 'nlp research'}",0.5,0.0,"{'challenges', 'translating'}",set(),0.5,1.0,0.6666666666666666
113,"{'multidocument summarization', 'scientific articles', 'scisumm', 'interesting comparisons'}","{'multidocument summarization', 'scisumm'}",0.5,0.0,"{'scientific articles', 'interesting comparisons'}",set(),0.5,1.0,0.6666666666666666
114,"{'semantic links', 'portuguese'}",{'portuguese'},0.5,0.0,{'semantic links'},set(),0.5,1.0,0.6666666666666666
115,"{'modeling', 'statistical partsofspeech tagger', 'human sentence processing data'}","{'statistical partsofspeech tagger', 'human sentence processing data'}",0.3333333333333333,0.0,{'modeling'},set(),0.6666666666666666,1.0,0.8
116,"{'japanese', 'automatic voice selection', 'linguistic information'}","{'various linguistic information', 'automatic voice selection'}",0.6666666666666666,0.5,"{'japanese', 'linguistic information'}",{'various linguistic information'},0.3333333333333333,0.5,0.4
117,"{'machine translation evaluation metrics', 'semantic textual similarity', 'upccore', 'wikipedia'}","{'machine translation evaluation metrics', 'semantic textual similarity'}",0.5,0.0,"{'upccore', 'wikipedia'}",set(),0.5,1.0,0.6666666666666666
118,"{'user behavior analysis', 'temporal websites'}","{'user behavior analysis', 'temporal websites'}",0.0,0.0,set(),set(),1.0,1.0,1.0
119,"{'romanian twitter dataset', 'roff', 'offensive language'}","{'romanian twitter dataset', 'roff', 'offensive language'}",0.0,0.0,set(),set(),1.0,1.0,1.0
120,"{'sentence fusion', 'multidocument news summarization'}","{'sentence fusion', 'multidocument news summarization'}",0.0,0.0,set(),set(),1.0,1.0,1.0
121,"{'full ranking', 'fully labeled data', 'bert', 'cranfield', 'properties'}","{'cranfield', 'bert', 'fully labeled data'}",0.4,0.0,"{'full ranking', 'properties'}",set(),0.6,1.0,0.7499999999999999
122,"{'corpus design', 'modern greek language', 'quantitative parameters', 'optimum text size'}","{'corpus design', 'quantitative parameters', 'optimum text size'}",0.25,0.0,{'modern greek language'},set(),0.75,1.0,0.8571428571428571
123,"{'appropriate generalization level', 'binary ontological relations', 'genia corpus'}","{'appropriate generalization level', 'the genia corpus', 'inary ontological relations'}",0.6666666666666666,0.6666666666666666,"{'binary ontological relations', 'genia corpus'}","{'the genia corpus', 'inary ontological relations'}",0.3333333333333333,0.3333333333333333,0.3333333333333333
124,"{'nlp system performance', 'data homogeneity'}","{'nlp system performance', 'data homogeneity'}",0.0,0.0,set(),set(),1.0,1.0,1.0
125,{'annotated hungarian national corpus'},{'hungarian national corpus'},1.0,1.0,{'annotated hungarian national corpus'},{'hungarian national corpus'},0.0,0.0,0.0
126,"{'textual encoding paradigm', 'semantic web tools', 'semantics'}","{'textual encoding paradigm', 'semantic web tools'}",0.3333333333333333,0.0,{'semantics'},set(),0.6666666666666666,1.0,0.8
127,"{'transfer learning', 'values of sources'}",{'transfer learning'},0.5,0.0,{'values of sources'},set(),0.5,1.0,0.6666666666666666
128,"{'morphology', 'probabilistic generative model', 'word frequencies'}","{'morphology', 'probabilistic generative model', 'word frequencies'}",0.0,0.0,set(),set(),1.0,1.0,1.0
129,"{'sequential labeling', 'structured refinement'}","{'sequential labeling', 'structured refinement'}",0.0,0.0,set(),set(),1.0,1.0,1.0
130,"{'morphologyaware neural network', 'paraphrases', 'antonyms'}",{'morphologyaware neural network'},0.6666666666666666,0.0,"{'paraphrases', 'antonyms'}",set(),0.3333333333333333,1.0,0.5
131,"{'chained classifiers', 'chats', 'sexual predator detection'}","{'chained classifiers', 'sexual predator detection'}",0.3333333333333333,0.0,{'chats'},set(),0.6666666666666666,1.0,0.8
132,"{'questiondriven summarization', 'multihop inference'}","{'questiondriven summarization', 'multihop inference'}",0.0,0.0,set(),set(),1.0,1.0,1.0
133,"{'soochow university', 'clp2010', 'chinese word sense induction system'}",{'chinese word sense induction system'},0.6666666666666666,0.0,"{'soochow university', 'clp2010'}",set(),0.3333333333333333,1.0,0.5
134,"{'machine learning techniques', 'parallel corpora evaluation', 'cleaning', 'word alignment'}","{'word alignment based', 'machine learning techniques'}",0.75,0.5,"{'cleaning', 'word alignment', 'parallel corpora evaluation'}",{'word alignment based'},0.25,0.5,0.3333333333333333
135,"{'data resources', 'crosslinguistic information retrieval', 'statistical machine translation'}","{'crosslinguistic information retrieval', 'statistical machine translation'}",0.3333333333333333,0.0,{'data resources'},set(),0.6666666666666666,1.0,0.8
136,"{'textual information', 'rumor veracity', 'doublechannel structure'}","{'textual information', 'rumor veracity', 'doublechannel structure'}",0.0,0.0,set(),set(),1.0,1.0,1.0
137,"{'distantly supervised', 'attention', 'biomedical knowledge acquisition', 'knowledge graph'}","{'distantly supervised biomedical knowledge acquisition', 'knowledge graph', 'attention'}",0.5,0.3333333333333333,"{'distantly supervised', 'biomedical knowledge acquisition'}",{'distantly supervised biomedical knowledge acquisition'},0.5,0.6666666666666666,0.5714285714285715
138,"{'object types', 'classification', 'english verbs'}",{'classification of english verbs'},1.0,1.0,"{'object types', 'classification', 'english verbs'}",{'classification of english verbs'},0.0,0.0,0.0
139,"{'mildly contextsensitive formalisms', 'syntaxsemantics parsing environment', 'tulipa'}",{'mildly contextsensitive formalisms'},0.6666666666666666,0.0,"{'syntaxsemantics parsing environment', 'tulipa'}",set(),0.3333333333333333,1.0,0.5
140,"{'sentiment analysis', 'service calls', 'deep learning system'}","{'sentiment analysis', 'deep learning system'}",0.3333333333333333,0.0,{'service calls'},set(),0.6666666666666666,1.0,0.8
141,"{'genre', 'icelandic althingi transcripts', 'parliamentary speeches'}","{'icelandic althingi transcripts', 'parliamentary speeches'}",0.3333333333333333,0.0,{'genre'},set(),0.6666666666666666,1.0,0.8
142,"{'rbmt', 'hybrid', 'smt'}","{'rbmt', 'hybrid', 'smt'}",0.0,0.0,set(),set(),1.0,1.0,1.0
143,"{'community descriptions of resources', 'lre map'}","{'harmonising community', 'lre map'}",0.5,0.5,{'community descriptions of resources'},{'harmonising community'},0.5,0.5,0.5
144,"{'open language learning', 'information extraction'}","{'open language learning', 'information extraction'}",0.0,0.0,set(),set(),1.0,1.0,1.0
145,"{'multimodal semantic learning', 'childdirected input'}","{'multimodal semantic learning', 'childdirected input'}",0.0,0.0,set(),set(),1.0,1.0,1.0
146,"{'frequency effects', 'syntactic rule learning', 'transformers'}","{'syntactic rule learning', 'transformers'}",0.3333333333333333,0.0,{'frequency effects'},set(),0.6666666666666666,1.0,0.8
147,{'paraphrase extraction framework'},{'paraphrase extraction framework'},0.0,0.0,set(),set(),1.0,1.0,1.0
148,"{'contrastive learning', 'intent discovery', 'pretraining'}","{'contrastive learning', 'intent discovery'}",0.3333333333333333,0.0,{'pretraining'},set(),0.6666666666666666,1.0,0.8
149,"{'datadriven model', 'practice conversation', 'chatbot', 'foreign language', 'explanations'}","{'foreign language', 'chatbot', 'datadriven model'}",0.4,0.0,"{'practice conversation', 'explanations'}",set(),0.6,1.0,0.7499999999999999
